Env Variable,R squared
Elevation,0.68
Inclination,0.03
Aspect,0.1
Rou_SD,0.2
Sat85_Dry,0.58
Sat0.1kPa_Dry,0.48
Dry1kPa_Dry,0.69
Dry3kPa_Dry,0.79
Dry0.3kPa_Dry,0.59
Dry0.7kPa_Dry,0.58
Sat85_Fog,0.26
Sat0.1kPa_Fog,0.36
Dry1kPa_Fog,0.63
Dry3kPa_Fog,0.69
Sat0.3kPa_Fog,0.35
Sat0.7kPa_Fog,0.61
T_min,0.58
RH_min,0.59
VPD_min,0.4
T_max,0.68
RH_max,0.42
VPD_max,0.7
T_med,0.67
RH_med,0.82
VPD_med,0.81
MDS1,1
MDS2,1
Time_Surface,0.31
Time_Absorption,0.46
Angle,0.11
.N,0.68
d15N,0.22
.C,0.98
d13C,0.73
f300_area,0.06
f670_area,0
f300_maxwl,0.06
f670_maxwl,0.24
f300_lo_wlhm,0
f300_up_wlhm,0.04
f300_width_wlhm,0.05
f300gauss_lo_wlhm,0
f300gauss_up_wlhm,0.18
f670_lo_wlhm,0.33
f670_up_wlhm,0
f670_width_wlhm,0.09
f670gauss_lo_wlhm,0
f670gauss_up_wlhm,0.08
f300_max,0.11
f670_max,0
NDVI,0.12
OSAVI,0.12
SAVI,0.12
MTVI,0
PWI,0.44
GMI1,0.25
GMI2,0.02
MCARI,0
TVI,0
Vogelmann4,0.16
Boochs,0.02
Boochs2,0.32
CARI,0.03
CI,0.35
Carter,0.12
Carter2,0.09
Carter3,0.21
Carter4,0.08
Carter5,0.09
Carter6,0
Datt,0.27
Datt2,0.21
Datt3,0.02
Datt4,0
Datt5,0.31
Datt6,0.08
DD,0
DDn,0.02
D1,0.13
D2,0.01
EVI,0.14
EGFR,0.33
EGFN,0.28
GI,0.34
Gitelson,0.08
Gitelson2,0.07
Green.NDVI,0.26
MCARI.OSAVI,0.15
MCARI2,0
MCARI2.OSAVI2,0
mNDVI,0.05
mND705,0.13
Maccioni,0.3
MSAVI,0.13
mSR,0
mSR705,0.12
mSR2,0.04
MTCI,0.03
NDVI2,0.05
NDVI3,0.33
NPCI,0.2
OSAVI2,0.05
RDVI,0.13
REP_LE,0.12
REP_Li,0.18
SIPI,0.07
SPVI,0
SR,0.1
SR1,0.02
SR2,0.02
SR3,0.25
SR4,0.12
SR5,0.12
SR6,0.06
SR7,0.23
SR8,0.21
SRPI,0.24
Sum_Dr1,0.28
Sum_Dr2,0.24
TCARI,0
TCARI2,0
TCARI.OSAVI,0.16
TCARI2.OSAVI2,0.05
Vogelmann,0
Vogelmann2,0.17
Vogelmann3,0.02
PRI,0.24
PSSR,0.19
PSND,0.21
CRI1,0.12
CRI2,0.2
CRI3,0.26
CRI4,0.03
MPRI,0
PRI.CI2,0.12
CI2,0.03
PSRI,0.29
ClAInt,0.02
TGI,0.18
PRI_norm,0.01
PARS,0.21
DPI,0.02
GDVI_2,0.12
GDVI_3,0.13
GDVI_4,0.14
DWSI4,0.34
NSpp_Treb,0.24
NSpp_Trent,0.14
Prop_Trent,0.2
Photo,0.12
Sand,0.12
Plant,0
Rock_L,0.18
Rock_S,0.33
Soil,0.29
