Env Variable,R squared
Elevation,0.61
Inclination,0.23
Aspect,0.04
Rou_SD,0.02
Sat85_Dry,0.45
Sat0.1kPa_Dry,0.36
Dry1kPa_Dry,0.45
Dry3kPa_Dry,0.33
Dry0.3kPa_Dry,0.5
Dry0.7kPa_Dry,0.63
Sat85_Fog,0.27
Sat0.1kPa_Fog,0.21
Dry1kPa_Fog,0.52
Dry3kPa_Fog,0.48
Sat0.3kPa_Fog,0.56
Sat0.7kPa_Fog,0.49
T_min,0.63
RH_min,0.42
VPD_min,0.24
T_max,0.28
RH_max,0.17
VPD_max,0.34
T_med,0.6
RH_med,0.35
VPD_med,0.35
MDS1,0
MDS2,0.02
Time_Surface,0.11
Time_Absorption,0.12
Angle,0.3
.N,0.56
d15N,0
.C,0.71
d13C,0.64
f300_area,0.36
f670_area,0
f300_maxwl,0.37
f670_maxwl,0
f300_lo_wlhm,0
f300_up_wlhm,0.29
f300_width_wlhm,0.3
f300gauss_lo_wlhm,0.14
f300gauss_up_wlhm,0
f670_lo_wlhm,0.24
f670_up_wlhm,0
f670_width_wlhm,0
f670gauss_lo_wlhm,0
f670gauss_up_wlhm,0
f300_max,0.22
f670_max,0
NDVI,0.09
OSAVI,0.09
SAVI,0.09
MTVI,0.01
PWI,0.31
GMI1,0.36
GMI2,0.03
MCARI,0
TVI,0
Vogelmann4,0.13
Boochs,0.07
Boochs2,0.07
CARI,0.06
CI,0.14
Carter,0.14
Carter2,0.07
Carter3,0.18
Carter4,0.06
Carter5,0.04
Carter6,0
Datt,0.06
Datt2,0.15
Datt3,0.37
Datt4,0
Datt5,0.32
Datt6,0.05
DD,0.07
DDn,0.06
D1,0.19
D2,0
EVI,0.16
EGFR,0
EGFN,0
GI,0.33
Gitelson,0.12
Gitelson2,0.13
Green.NDVI,0.25
MCARI.OSAVI,0
MCARI2,0.02
MCARI2.OSAVI2,0
mNDVI,0.01
mND705,0
Maccioni,0.31
MSAVI,0.09
mSR,0
mSR705,0
mSR2,0.04
MTCI,0.04
NDVI2,0.05
NDVI3,0.33
NPCI,0.18
OSAVI2,0.05
RDVI,0.11
REP_LE,0
REP_Li,0.1
SIPI,0.01
SPVI,0.04
SR,0.09
SR1,0.03
SR2,0.04
SR3,0.36
SR4,0.12
SR5,0.14
SR6,0.05
SR7,0.17
SR8,0.13
SRPI,0.15
Sum_Dr1,0.06
Sum_Dr2,0.01
TCARI,0
TCARI2,0.01
TCARI.OSAVI,0
TCARI2.OSAVI2,0.01
Vogelmann,0
Vogelmann2,0.13
Vogelmann3,0
PRI,0.22
PSSR,0.17
PSND,0.21
CRI1,0.29
CRI2,0.3
CRI3,0.35
CRI4,0.05
MPRI,0
PRI.CI2,0.17
CI2,0.03
PSRI,0.28
ClAInt,0.04
TGI,0.02
PRI_norm,0
PARS,0.37
DPI,0
GDVI_2,0.09
GDVI_3,0.09
GDVI_4,0.09
DWSI4,0.34
NSpp_Treb,0.07
NSpp_Trent,0
Prop_Trent,0.2
Photo,0.2
Sand,0
Plant,0
Rock_L,0.3
Rock_S,0.19
Soil,0.07
