Species,Elevation,Transect,Indiv,Talo,Cortex,Alga,Medulla,Cortex_Hya,Cortex_Pigm
Niebla ceruchis,550,A,1,732.124,48.1585,60.36525,514.93675,,
Niebla ceruchis,550,A,2,591.18475,52.476875,45.3365,395.51675,,
Niebla ceruchis,550,A,3,587.537,70.640875,57.558125,331.09525,,
Niebla ceruchis,550,A,4,435.06425,35.661875,38.83925,285.9515,,
Niebla ceruchis,550,A,5,479.7745,45.968375,45.277375,284.598,,
Niebla ceruchis,650,A,1,372.784,61.465,49.432625,151.037,,
Niebla ceruchis,650,A,2,611.2055,70.0945,52.70825,365.565,,
Niebla ceruchis,650,A,3,465.6705,62.912625,60.109375,219.4855,,
Niebla ceruchis,650,A,4,516.63925,62.878375,60.7294,273.04725,,
Niebla ceruchis,650,A,5,434.79025,51.672,50.1655,231.11075,,
Niebla ceruchis,750,A,1,540.4075,51.038,57.3505,323.6655,,
Niebla ceruchis,500,B,1,1069.68975,66.47,72.22475,792.2095,,
Niebla ceruchis,500,B,2,519.83725,60.71,56.628625,285.039,,
Niebla ceruchis,500,B,3,882.545,58.882125,95.049875,574.56125,,
Niebla ceruchis,500,B,4,697.1185,52.39975,66.46675,459.48575,,
Niebla ceruchis,500,B,5,454.6825,46.471,49.693625,262.3635,,
Niebla ceruchis,600,B,1,668.93775,61.330125,58.31975,429.66,,
Niebla ceruchis,600,B,2,693.7665,55.984375,57.6745,466.493,,
Niebla ceruchis,600,B,3,625.56825,40.030375,58.45025,428.50975,,
Niebla ceruchis,600,B,4,464.9515,37.617125,56.16975,277.32875,,
Niebla ceruchis,600,B,5,653.113,54.4255,56.500625,431.26,,
Niebla ceruchis,700,B,1,599.85225,47.511,57.362875,398.7365,,
Buellia jorgensis,650,A,1,279.808,36.098,65.316,167.166,,
Buellia jorgensis,750,A,1,224.881,24.170,64.566,119.909,,
Buellia jorgensis,750,A,2,164.845,43.805,57.195,62.164,,
Buellia jorgensis,850,A,1,237.476,50.036,81.560,89.405,,
Buellia jorgensis,850,A,2,248.602,63.049,77.370,139.657,,
Buellia jorgensis,500,B,1,222.741,36.491,67.213,95.980,,
Buellia jorgensis,500,B,2,134.942,49.794,61.155,31.500,,
Buellia jorgensis,600,B,1,235.367,49.245,68.672,153.102,,
Buellia jorgensis,600,B,2,224.463,22.346,65.317,120.267,,
Buellia jorgensis,700,B,1,177.694,50.045,48.779,120.690,,
Buellia jorgensis,700,B,2,223.839,48.068,52.821,120.126,,
Buellia jorgensis,800,B,1,181.698,42.607,78.691,70.314,,
Buellia jorgensis,800,B,2,223.623,44.346,77.836,137.322,,
Roccellina cerebriformis,450,A,1,369.705,44.010,85.572,240.268,,
Roccellina cerebriformis,550,A,1,255.727,51.802,72.907,131.154,,
Roccellina cerebriformis,400,B,1,428.307,48.977,73.014,352.745,,
Roccellina cerebriformis,400,B,2,303.447,43.409,110.261,149.901,,
Roccellina cerebriformis,500,B,1,453.403,52.844,81.443,319.211,,
Roccellina cerebriformis,500,B,2,347.416,58.278,73.542,215.704,,
Roccellina cerebriformis,600,B,1,264.517,37.415,76.236,150.951,,
Roccellina cerebriformis,600,B,2,262.395,40.501,70.857,151.124,,
Roccellina cerebriformis,700,B,1,249.476,55.132,49.707,144.495,,
Roccellina cerebriformis,700,B,2,286.753,56.693,72.621,157.557,,
Heterodermia follmannii,650,A,,183.719,76.8032,46.383,,53.774,23.029
Heterodermia follmannii,650,A,,168.285,40.0838,53.965,,23.443,16.641
Heterodermia follmannii,750,A,,214.093,60.154,72.030,,46.429,13.725
Heterodermia follmannii,750,A,,142.129,48.6358666666667,56.728,,29.522,19.114
Heterodermia follmannii,850,A,,141.780,45.7458666666667,49.714,,25.116,20.630
Heterodermia follmannii,850,A,,159.465,58.9596,51.723,,42.745,16.215
Heterodermia follmannii,500,B,,137.589,64.9489333333333,44.100,,45.845,19.103
Heterodermia follmannii,500,B,,186.523,69.4032,80.905,,48.448,20.956
Heterodermia follmannii,600,B,,163.210,38.4244,50.137,,21.884,16.540
Heterodermia follmannii,600,B,,179.632,49.1616,70.713,,30.610,18.551
Heterodermia follmannii,700,B,,170.024,60.4878,54.912,,42.116,18.372
Heterodermia follmannii,700,B,,165.702,56.042,51.148,,31.575,24.467
Heterodermia follmannii,800,B,,157.153,64.2053333333333,56.471,,35.095,29.111
Heterodermia follmannii,800,B,,193.292,82.3348666666667,62.944,,58.556,23.779
