Slice,Count,Total Area,Average Size,%Area,Mean,Perim.
Rocc_30_4_Wet_Vert_033.JPG,489,48.916,0.1,30.332,255,0.176
Rocc_30_4_Dry_Vert_001.JPG,563,45.934,0.082,32.489,255,0.14
Rocc_30_5_Dry_Vert_002.JPG,137,41.644,0.304,33.652,255,0.357
Rocc_30_5_Wet_Vert_035.JPG,79,47.873,0.606,33.95,255,0.598
Rocc_40_4_Dry_Vert_007.JPG,1027,71.441,0.07,38.445,255,0.106
Rocc_40_4_Wet_Vert_039.JPG,1763,72.186,0.041,31.49,255,0.09
Rocc_40_5_Dry_Vert_011.JPG,5,66.78,13.356,47.163,255,14.187
Rocc_40_5_Wet_Vert_043.JPG,7,75.565,10.795,42.574,255,9.339
Rocc_50_4_Dry_Vert_015.JPG,2,66.825,33.413,42.23,255,25.551
Rocc_50_4_Wet_Vert_051.JPG,4,68.522,17.131,40.701,255,13.993
Rocc_50_5_Dry_Vert_019.JPG,6,44.5,7.417,38.462,255,9.371
Rocc_50_5_Wet_Vert_047.JPG,7,45.702,6.529,30.056,255,8.111
Rocc_60_4_Dry_Vert_023.JPG,7,40.859,5.837,22.137,255,9.907
Rocc_60_4_Wet_Vert_055.JPG,7,50.068,7.153,18.186,255,11.502
Rocc_60_5_Dry_Vert_027.JPG,355,31.417,0.088,29.262,255,0.163
Rocc_60_5_Wet_Vert_059.JPG,151,32.795,0.217,33.313,255,0.294
Rocc_70_1_Dry_Vert_063.JPG,1113,55.079,0.049,38.435,255,0.1
Rocc_70_1_Wet_Vert_083.JPG,5,57.484,11.497,39.447,255,12.828
Rocc_70_2_Dry_Vert_067.JPG,3,38.755,12.918,33.354,255,13.546
Rocc_70_2_Wet_Vert_084.JPG,10,38.069,3.807,31.803,255,7.379
Rocc_70_3_Dry_Vert_071.JPG,3,32.429,10.81,29.313,255,13.123
Rocc_70_3_Wet_Vert_085.JPG,3,34.148,11.383,38.329,255,12.858
Rocc_70_4_Dry_Vert_075.JPG,2,23.919,11.959,27.898,255,17.963
Rocc_70_4_Wet_Vert_086.JPG,5,25.501,5.1,27.88,255,7.598
Be_Wet_Vert_155.JPG,5,29.387,5.877,35.804,255,8.269
B_Wet_Tot_015.JPG,88,101.213,1.15,17.091,255,4.706
B_Wet_V_011.JPG,4,42.408,10.602,23.666,255,14.642
Chry_55_1_Dry_Vert_247.JPG,4,38.962,9.741,33.848,72.658,12.562
Chry_55_1_Wet_Vert_255.JPG,6,48.92,8.153,19.904,255,10.017
Chry_55_2_Dry_Vert_251.JPG,2,23.573,11.787,22.797,255,12.036
Chry_55_2_Wet_Vert_259.JPG,2,31.347,15.673,37.765,255,15.632
Chry_65_1_Dry_Vert_263.JPG,8,36.002,4.5,19.444,255,5.509
Chry_65_1_Wet_Vert_271.JPG,13,44.99,3.461,23.917,255,3.972
Chry_65_2_Dry_Vert_267.JPG,2,22.481,11.24,17.849,255,14.967
Chry_65_2_Wet_Vert_275.JPG,2,26.233,13.116,16.929,255,15.485
De_Dry_Vert_187.JPG,78,42.827,0.549,16.484,255,1.662
De_Wet_Tot_195.JPG,255,75.999,0.298,13.691,255,1.183
De_Wet_Vert_191.JPG,54,47.219,0.874,26.664,255,2.05
E_Dry_Vert_023.JPG,78,70.924,0.909,21.215,255,1.829
E_Wet_Tot_031.JPG,315,163.649,0.52,32.405,255,1.228
E_Wet_Vert_027.JPG,83,120.388,1.45,32.18,255,1.965
F_Dry_Vert_035.JPG,6,47.443,7.907,16.491,255,11.371
F_Wet_Tot_043.JPG,86,150.087,1.745,26.171,255,5.384
F_Wet_Vert_039.JPG,9,59.19,6.577,21.147,255,8.296
Ga_Dry_Vert_147.JPG,36,54.813,1.523,26.388,255,1.916
Ga_Wet_Tot_1_167.JPG,95,111.279,1.171,18.791,255,5.694
Ga_Wet_Tot_2_171.JPG,140,64.535,0.461,10.898,255,2.249
Ga_Wet_Vert_159.JPG,41,64.595,1.575,19.167,255,2.401
T_Dry_Vert_063.JPG,23,34.241,1.489,22.935,255,3.592
T_Wet_Tot_079.JPG,264,125.248,0.474,21.15,255,1.717
T_Wet_Vert_071.JPG,22,46.284,2.104,31.155,255,3.593
U_Dry_Vert_047.JPG,3,27.559,9.186,18.21,255,18.027
V_Dry_Vert_051.JPG,6,14.266,2.378,24.222,255,7.583
V_Wet_Tot_059.JPG,150,111.809,0.745,18.881,255,2.85
V_Wet_Vert_055.JPG,22,16.726,0.76,27.122,255,2.122
Y_Dry_Vert_087.JPG,94,112.327,1.195,18.968,255,2.834
Y_Wet_Tot_1_095.JPG,198,120.292,0.608,20.313,255,2.483
Y_Wet_Tot_2_099.JPG,121,138.775,1.147,23.435,255,3.237
Y_Wet_Vert_091.JPG,42,118.606,2.824,20.029,255,3.689
Z_Dry_Vert_231.JPG,335,49.903,0.149,25.925,255,0.325
Z_Wet_Tot_1_239.JPG,187,113.241,0.606,19.123,255,2.29
Z_Wet_Tot_2_243.JPG,73,101.845,1.395,17.198,255,5.375
Z_Wet_Vert_235.JPG,173,67.288,0.389,33.528,255,0.516
H_Dry_Vert_103.JPG,12,54.921,4.577,36.921,255,5.063
Het_80_1_Dry_Vert_435.JPG,28,53.473,1.91,22.159,255,3.784
Het_80_1_Wet_Tot_463.JPG,404,108.817,0.269,18.376,255,0.843
Het_80_1_Wet_Vert_451.JPG,43,66.35,1.543,20.283,255,2.568
Het_80_2_Dry_Vert_439.JPG,40,50.333,1.258,23.248,255,2.256
Het_80_2_Wet_Tot_467.JPG,72,101.557,1.411,17.817,255,3.376
Het_80_2_Wet_Vert_455.JPG,33,60.612,1.837,23.732,255,2.796
Het_80_3_Wet_Tot_471.JPG,135,69.81,0.517,15.759,255,1.515
Het_80_3_Wet_Vert_459.JPG,65,43.778,0.674,14.625,255,1.475
Het_80_23_Dry_Vert_443.JPG,65,36.15,0.556,18.151,255,1.547
H_Wet_Tot_1_119.JPG,494,125.828,0.255,21.88,255,0.896
H_Wet_Tot_2_123.JPG,45,39.654,0.881,10.509,255,3.312
H_Wet_Vert_107.JPG,11,70.49,6.408,27.894,255,6.979
J_Dry_Vert_127.JPG,2,19.602,9.801,19.733,255,14.015
J_Wet_Tot_143.JPG,2,36.218,18.109,23.3,255,19.146
