Sample,Mass,.N,d15N,.C,d13C,CNRatio,Site,Taxon,Rep
RayasUp_1_f.raw,5.34,2.27,-0.04,48.18,-30.45,21.2246696035242,RayasUp,f,1
Ref_3_f.raw,5.25,2.03,-6,45.58,-33.1,22.4532019704433,Ref,f,3
RayasUp_2_b.raw,4.964,1.2,-5.74,51.76,-28.46,43.1333333333333,RayasUp,b,2
Ref_2_b.raw,5.346,1.33,-4.95,49.3,-33.08,37.0676691729323,Ref,b,2
FloodUp_1_c.raw,5.467,1.11,-6.87,49.77,-25.21,44.8378378378378,FloodUp,c,1
Lteph_1_e.raw,4.763,1.24,-1.51,32.95,-30.55,26.5725806451613,Lteph,e,1
Lteph_2_f.raw,4.52,1.01,-4.71,45.64,-33.43,45.1881188118812,Lteph,f,2
Flood1_5_e.raw,4.655,2.56,-1.1,48.94,-33.39,19.1171875,Flood1,e,5
Flood1_4_j.raw,5.191,0.81,-10.87,50.61,-29.17,62.4814814814815,Flood1,j,4
Flood1_2_j.raw,5.387,0.9,-9.78,50.21,-28.75,55.7888888888889,Flood1,j,2
Lteph_5_f.raw,5.42,0.92,-4.5,35.56,-34,38.6521739130435,Lteph,f,5
Flood1_4_c.raw,4.996,0.92,-7.4,50.67,-25.56,55.0760869565217,Flood1,c,4
Flood1_5_j.raw,5.064,0.92,-11.21,50.17,-27.94,54.5326086956522,Flood1,j,5
Lteph_5_b.raw,4.829,1.49,-4.99,49.06,-33,32.9261744966443,Lteph,b,5
Ref_5_c.raw,5.342,1.36,-4.97,49.41,-31.32,36.3308823529412,Ref,c,5
Ref_1_b.raw,5.3,0.94,-6.5,51.07,-29.98,54.3297872340426,Ref,b,1
Flood1_4_b.raw,4.881,0.89,-7.62,53.17,-27.72,59.7415730337079,Flood1,b,4
Lteph_3_f.raw,5.153,2.17,-5.43,47.11,-34.44,21.7096774193548,Lteph,f,3
Flood1_4_k.raw,4.883,1.13,-4.96,47.95,-30.46,42.4336283185841,Flood1,k,4
Lteph_3_k.raw,4.928,1.46,-6.44,47.66,-30.32,32.6438356164383,Lteph,k,3
Flood1_5_c.raw,5.118,0.96,-6.29,49.98,-25.41,52.0625,Flood1,c,5
Ref_5_f.raw,5.154,1.55,-5.82,45.12,-33.05,29.1096774193548,Ref,f,5
Ref_4_f.raw,5.113,1.33,-4.05,43.93,-32.28,33.0300751879699,Ref,f,4
Flood1_3_k.raw,5.048,1.5,-2.85,48.35,-28.79,32.2333333333333,Flood1,k,3
Flood1_1_k.raw,5.105,1.03,-2.52,48.6,-28.33,47.1844660194175,Flood1,k,1
Flood1_3_f.raw,5.007,1.26,-5.49,43.82,-31.79,34.7777777777778,Flood1,f,3
Flood1_5_b.raw,4.978,0.98,-5.29,51.85,-24.63,52.9081632653061,Flood1,b,5
Ref_4_c.raw,5.05,1.14,-4.86,48.83,-31.23,42.8333333333333,Ref,c,4
Flood1_3_j.raw,5.045,0.84,-9.27,49.41,-30.27,58.8214285714286,Flood1,j,3
FloodUp_1_f.raw,5.104,2,-5.19,45.59,-29.93,22.795,FloodUp,f,1
Ref_1_c.raw,5.299,1.12,-6.71,50.42,-30.17,45.0178571428571,Ref,c,1
FloodUp_3_k.raw,5.253,1.43,-5.77,49.01,-30.94,34.2727272727273,FloodUp,k,3
FloodUp_3_b.raw,5.188,1.18,-5.41,50.3,-25.28,42.6271186440678,FloodUp,b,3
RayasUp_1_b.raw,5.308,2.24,-6.25,49.16,-26.77,21.9464285714286,RayasUp,b,1
Lteph_1_k.raw,5.319,1.48,-5.25,44.82,-32.55,30.2837837837838,Lteph,k,1
Flood1_1_b.raw,4.97,0.79,-9.67,51.97,-28.3,65.7848101265823,Flood1,b,1
FloodUp_4_b.raw,4.971,1.05,-5.08,52.06,-24.56,49.5809523809524,FloodUp,b,4
Flood1_2_c.raw,5.2,1.05,-3.93,49.95,-26.07,47.5714285714286,Flood1,c,2
Flood1_2_f.raw,5.395,1.37,-3.07,46.03,-29.52,33.5985401459854,Flood1,f,2
FloodUp_2_b.raw,5.421,0.7,-4.52,33.5,-26.68,47.8571428571429,FloodUp,b,2
Ref_4_b.raw,5.028,1.24,-3.4,48.89,-34.5,39.4274193548387,Ref,b,4
Flood1_5_f.raw,5.068,1.14,-4.7,47.68,-30.67,41.8245614035088,Flood1,f,5
FloodUp_4_f.raw,5.364,2.14,-5.82,46.59,-29.69,21.7710280373832,FloodUp,f,4
Flood1_1_c.raw,5.158,0.75,-7.34,50.44,-25.5,67.2533333333333,Flood1,c,1
Ref_5_b.raw,5.157,1.22,-5.05,47.32,-32.06,38.7868852459016,Ref,b,5
RayasUp_3_b.raw,5.47,0.84,-4.19,53.03,-28.68,63.1309523809524,RayasUp,b,3
FloodUp_4_k.raw,5.273,1.07,-5.97,45.97,-30.59,42.9626168224299,FloodUp,k,4
Lteph_1_b.raw,5.226,1.23,-6.37,45.77,-32.58,37.2113821138211,Lteph,b,1
RayasUp_1_k.raw,5.15,2.16,-5.92,46.34,-30.82,21.4537037037037,RayasUp,k,1
Lteph_4_k.raw,5.064,1.44,-8.51,41.95,-33.07,29.1319444444444,Lteph,k,4
Lteph_2_k.raw,4.935,1.35,-4.49,43.99,-32.8,32.5851851851852,Lteph,k,2
RayasUp_4_k.raw,5.345,1.42,-2.27,45.74,-31.88,32.2112676056338,RayasUp,k,4
Lteph_5_c.raw,5.223,1.23,-5.05,47.94,-30.7,38.9756097560976,Lteph,c,5
RayasUp_5_b.raw,5.301,1.23,-1.78,49.08,-30.63,39.9024390243902,RayasUp,b,5
Flood1_4_f.raw,4.908,1.64,-8.54,44.38,-31.22,27.0609756097561,Flood1,f,4
FloodUp_x_k.raw,5.188,1.09,-9.04,47.56,-30.1,43.6330275229358,FloodUp,k,
RayasUp_2_f.raw,5.439,2.08,-4.16,45.7,-32.14,21.9711538461538,RayasUp,f,2
FloodUp_1_b.raw,4.935,0.95,-5.02,49.68,-26.6,52.2947368421053,FloodUp,b,1
Ref_1_f.raw,5.022,1.53,-4.59,47.12,-32.67,30.797385620915,Ref,f,1
Flood1_2_b.raw,5.232,1.3,-4.59,49.16,-25.41,37.8153846153846,Flood1,b,2
Ref_2_c.raw,5.113,1.12,-2.89,44.59,-31.21,39.8125,Ref,c,2
RayasUp_3_f.raw,4.915,1.89,-2.85,46.69,-30.34,24.7037037037037,RayasUp,f,3
Lteph_5_k.raw,5.022,1.21,-8.01,44.56,-31.74,36.8264462809917,Lteph,k,5
FloodUp_4_c.raw,4.805,0.83,-4.37,48.37,-26.79,58.2771084337349,FloodUp,c,4
Flood1_1_f.raw,5.254,0.89,-3.38,46.44,-33.74,52.1797752808989,Flood1,f,1
Flood 1-4 h,4.869,3.02,-1.32,45.8,-25.02,15.15,Flood1,h,4
Flood 1 3 i,4.728,2.33,-0.21,41.01,-34.11,17.59,Flood1,i,3
L. Teph 3 e,4.68,2.86,-0.72,41.82,-33.98,14.61,Lteph,e,3
Ref 1 e,4.849,2.63,-0.99,46.54,-33.98,17.7,Ref,e,1
Rayas Up 4 a,4.649,4.42,-1.35,43.49,-21.33,9.83,RayasUp,a,4
Flood 1-4 e,4.694,1.97,-0.71,45.01,-34.91,22.84,Flood1,e,4
Flood 1-1 e,4.792,1.78,0.3,45.16,-34.48,25.4,Flood1,e,1
Flood 1 2 g,4.905,2.11,-0.34,46.26,-34.97,21.97,Flood1,g,2
Ref 3 E,4.692,2.39,-1.33,45.48,-34.49,19.01,Ref,e,3
Ref 1 i,4.647,2.64,-0.62,42.78,-34.59,16.21,Ref,i,1
Flood 1-1 g,4.668,2.24,-1.52,47.6,-35.34,21.24,Flood1,g,1
Rayes Up 5 e,4.804,2.2,-0.1,46.01,-35.14,20.93,RayasUp,e,5
Flood 1-3 b,4.868,0.95,-5.17,49.55,-28.62,52.09,Flood1,b,3
Flood 1 3 d,4.695,5.21,-1.77,44.59,-22.1,8.56,Flood1,d,3
Flood Upp 4 e,4.71,2.41,-1.44,45.93,-34.44,19.09,FloodUp,e,4
L. Teph 4 i,4.685,2.99,-1.32,44.12,-34.31,14.73,Lteph,i,4
L. Teph 5 g,4.668,2.22,-1.7,41.18,-36.02,18.51,Lteph,g,5
