FileName,Elevation,Quadrat,Number,Replicate,Subreplicate,Time_Surface,Time_Absorption,Angle,Notes
TB_300_1_1a,300,1,1,1,1,0,0,180,
TB_300_1_1b,300,1,1,2,1,0,0,80,
TB_400_1_1,400,1,1,1,1,0,0,180,
TB_400_1_1,400,1,1,1,2,0,0,180,
TB_400_1_1,400,1,1,1,3,0,0,180,
TB_300_1_2c,300,1,2,1,1,1,30,120,check identity!
TB_300_1_2c,300,1,2,2,1,1,8,,
TB_300_1_2c,300,1,2,3,1,4,7,,
TB_300_1_2c,300,1,2,1,2,1,26,,
TB_400_1_2,400,1,2,1,1,13,90,90,
TB_400_1_2,400,1,2,2,1,1,10,,Apo
TB_400_1_2,400,1,2,1,2,1,13,,
TB_400_1_2,400,1,2,1,3,1,10,90,Apo
TB_400_1_2,400,1,2,3,1,1,9,,
TB_400_1_2,400,1,2,3,2,1,12,,
TB_400_1_3a,400,1,3,1,1,1,21,90,
TB_400_1_3a,400,1,3,1,2,1,30,,
TB_400_1_3a,400,1,3,1,3,1,24,,
TB_400_1_3b,400,1,3,2,1,1,15,,
TB_400_1_3b,400,1,3,3,1,1,6,,
TB_400_1_3b,400,1,3,4,1,0,7,180,
TB_400_1_4,400,1,4,1,1,,,30,
TB_400_1_4,400,1,4,2,1,12,60,30,
TB_400_1_4,400,1,4,3,1,3,60,30,
TB_400_1_7,400,1,7,1,1,2,10,60,
TB_400_1_7,400,1,7,2,1,1,30,60,
TB_400_1_7,400,1,7,3,1,2,30,,
TB_400_1_7b,400,1,7,4,1,2,,,
TB_400_1_7b,400,1,7,4,2,3,15,,Apo
TB_500_1_1,500,1,1,1,1,1,25,135,
TB_500_1_1,500,1,1,2,1,1,18,135,
TB_500_1_1,500,1,1,3,1,3,,90,too small to absorb
TB_500_1_2,500,1,2,1,1,0,0,180,
TB_500_1_2,500,1,2,1,2,0,1,180,
TB_500_1_2,500,1,2,1,3,0,1,180,
TB_500_1_3,500,1,3,1,1,90,90,60,
TB_700_1_1,700,1,1,1,1,1,2,60,apo
TB_700_1_2,700,1,2,1,1,3,90,90,
TB_700_1_2,700,1,2,2,1,10,90,120,
TB_700_1_2,700,1,2,3,1,40,90,90,
TB_700_1_4a,700,1,4,1,1,,,,optical illusions
TB_700_1_4a,700,1,4,2,1,1,15,,
TB_700_1_4b,700,1,4,3,1,1,7,,
TB_700_1_4b,700,1,4,4,1,1,11,,
TB_700_1_4b,700,1,4,5,1,0,5,,
TB_700_1_5,700,1,5,1,1,1,90,120,apo
TB_700_1_5,700,1,5,2,1,2,90,120,apo
TB_700_1_6,700,1,6,1,1,3,40,90,
TB_700_1_6,700,1,6,1,2,1,27,120,
TB_700_1_6,700,1,6,1,3,1,6,120,
TB_700_1_6,700,1,6,1,4,1,25,120,
TB_700_1_6,700,1,6,1,5,1,10,90,
TB_700_1_6,700,1,6,1,6,1,22,90,
TB_700_1_8,700,1,8,1,1,1,6,90,
TB_700_1_8,700,1,8,1,2,1,7,120,
TB_700_1_8,700,1,8,1,3,1,,90,
TB_700_1_8,700,1,8,1,4,1,15,90,
TB_700_1_8,700,1,8,1,5,1,8,,
TB_700_1_9,700,1,9,1,1,1,10,120,
TB_700_1_9,700,1,9,1,2,1,,90,wet thallus
TB_700_2_9,700,2,9,1,1,8,90,90,
TB_700_2_9,700,2,9,1,2,10,90,90,
TB_700_2_9,700,2,9,1,3,8,60,90,
TB_700_3_6,700,3,6,1,1,90,90,90,
TB_700_3_6,700,3,6,2,1,90,90,90,
TB_700_3_6,700,3,6,1,2,90,90,90,
TB_700_5_2,700,5,2,1,1,1,40,90,
TB_700_5_2,700,5,2,1,2,1,90,60,
TB_700_9_1,700,9,1,1,1,1,4,120,
TB_700_9_1,700,9,1,1,2,1,3,120,
TB_700_10_3,700,10,3,1,1,1,4,120,
TB_700_10_3,700,10,3,2,1,1,14,90,
TB_700_10_3,700,10,3,3,1,1,,90,too small to absorb
TB_600_1_1,600,1,1,1,1,0,0,,
TB_600_1_1,600,1,1,1,2,0,0,,
TB_600_1_1,600,1,1,1,3,0,0,,
TB_600_1_4,600,1,4,1,1,1,5,,
TB_600_1_4,600,1,4,2,1,1,4,,
TB_600_1_6,600,1,6,1,1,1,8,120,
TB_600_1_6,600,1,6,1,2,1,10,120,
TB_600_1_9,600,1,9,1,1,10,90,90,
TB_600_1_9,600,1,9,2,1,4,50,90,
TB_600_1_9,600,1,9,2,2,5,40,90,
TB_600_1_9,600,1,9,2,3,2,60,60,
TB_600_1_9,600,1,9,1,2,2,30,60,
TB_600_1_10,600,1,10,1,1,1,20,120,
TB_600_1_10,600,1,10,1,2,1,10,120,
TB_600_1_10,600,1,10,1,3,1,20,120,
TB_600_1_10,600,1,10,1,4,1,20,,
