Elevation,Transect,Quadrat,Species,Cover,Collection,Long_Form,Photos
450,A,1,,,,,
450,A,2,Caloplaca2,2,T450_A2.1,Caloplaca2,
450,A,3,,,,,
450,A,4,,,,,
450,A,5,Caloplaca2,2,T450_A2.1,,
450,A,5,Roccellina1,8,T450_A5.1,,
450,A,5,YellowRhizocarpon,T,T450_A5.2,,
450,A,6,Caloplaca2,T,T450_A2.1,,
450,A,7,,,,,
450,A,8,,,,,
450,A,9,,,,,
450,A,10,Caloplaca2,T,T450_A2.1,,
450,A,11,,,,,
450,A,12,Caloplaca2,2,T450_A2.1,,
450,A,13,Caloplaca2,T,T450_A2.1,,
450,A,14,,,,,
450,A,15,,,,,
450,A,16,,,,,
450,A,17,,,,,
450,A,18,,,,,
450,A,19,,,,,
450,A,20,,,,,
500,A,1,ArthoniaRocc1,T,T500_A1.1,,
500,A,1,LightBrownRocc,2,,,
500,A,1,Roccellina1,1,T450_A5.1,,
500,A,1,Roccellina2,1,,,
500,A,2,,,,,
500,A,3,,,,,
500,A,4,Buellia3,1,T500_A4.2,,
500,A,4,Caloplaca2,1,T450_A2.1,,
500,A,4,Ramalina2,T,T500_A4.1,,
500,A,4,YellowRhizocarpon,T,T450_A5.2,,
500,A,5,,,,,
500,A,6,Caloplaca2,T,T450_A2.1,,
500,A,6,Ramalina2,T,T500_A4.1,,
500,A,7,,,,,
500,A,8,,,,,
500,A,9,Arctothelium,T,T800_A1.8,,
500,A,9,Buellia2,T,T800_A1.13,,
500,A,9,YellowRhizocarpon,T,T450_A5.2,,
500,A,9,YellowRhizocarpon2,T,T500_A9.1,,
500,A,10,Arctothelium,1,T800_A1.8,,
500,A,10,BuelliaBlue,T,T500_A10.3,,
500,A,10,Caloplaca2,1,T450_A2.1,,
500,A,10,Caloplaca3,T,T500_A10.2,,
500,A,10,GrayCrust1,T,T500_A10.1,,
500,A,10,YellowRhizocarpon,2,T450_A5.2,,
500,A,11,Arctothelium,T,T800_A1.8,,
500,A,11,Caloplaca2,T,T450_A2.1,,
500,A,12,Arctothelium,T,T800_A1.8,,
500,A,12,Buellia3,T,T500_A4.2,,
500,A,12,Buellia4,T,T500_A12.1,,
