"","Elevation","Transect","Quadrat","Inclination","Aspect","R_Sum","R_Mean","R_Median","R_Max","NSpp","Rou_SD"
"1",300,"B","1",56,199,NA,NA,NA,NA,2,49.4943767849776
"2",300,"B","10",NA,175,NA,NA,NA,NA,1,6.38278935889318
"3",300,"B","2",36,184,NA,NA,NA,NA,1,27.7923850481866
"4",300,"B","3",25,196,NA,NA,NA,NA,1,9.50491101133163
"5",300,"B","4",37,209,NA,NA,NA,NA,1,22.6360332213928
"6",300,"B","5",22,159,NA,NA,NA,NA,1,26.861496607598
"7",300,"B","6",38,185,NA,NA,NA,NA,1,20.0310592164602
"8",300,"B","7",41,198,NA,NA,NA,NA,1,28.7447386490119
"9",300,"B","8",36,152,NA,NA,NA,NA,1,22.7486263321547
"10",300,"B","9",36,166,NA,NA,NA,NA,1,20.1069639677401
"11",400,"B","1",57,190,NA,NA,NA,NA,7,45.1506736752989
"12",400,"B","10",57,175,NA,NA,NA,NA,3,28.0236804625422
"13",400,"B","2",48,181,NA,NA,NA,NA,4,19.9251097863977
"14",400,"B","3",45,185,NA,NA,NA,NA,1,28.4648906549806
"15",400,"B","4",25,178,NA,NA,NA,NA,1,12.0404872548138
"16",400,"B","5",51,174,NA,NA,NA,NA,2,32.0870171045341
"17",400,"B","6",37,170,NA,NA,NA,NA,1,6.87095335452075
"18",400,"B","7",34,165,NA,NA,NA,NA,1,17.0638018428876
"19",400,"B","8",35,171,NA,NA,NA,NA,1,13.8006038515228
"20",400,"B","9",40,238,NA,NA,NA,NA,1,43.8566984621506
"21",450,"A","1",31,237,84.049,3.00175,2.4765,13.319,1,3.44093010681705
"22",450,"A","10",32,214,121.821,2.9005,1.308,18.341,1,6.36998168495536
"23",450,"A","11",31,200,38.362,1.4208148148,0.89,10.691,1,4.03815139224208
"24",450,"A","12",37,206,122.4,4.5333333333,1.681,30.077,1,7.17704674639925
"25",450,"A","13",28,210,111.145,3.7048333333,1.5195,38.541,1,6.60101002372617
"26",450,"A","14",29,205,104.707,2.8299189189,1.228,23.743,1,9.67074626558537
"27",450,"A","15",27,205,NA,NA,NA,NA,1,2.27303028283098
"28",450,"A","16",26,192,NA,NA,NA,NA,1,2.21585198061603
"29",450,"A","17",24,196,12.485,6.2425,6.2425,6.4,1,1.42828568570857
"30",450,"A","18",27,185,NA,NA,NA,NA,1,2.94392028877595
"31",450,"A","19",24,187,61.473,1.983,1.387,5.772,1,2.87691964897643
"32",450,"A","2",35,225,200.134,2.7415616438,1.053,22.302,1,7.19374728496908
"33",450,"A","20",37,190,31.985,1.9990625,1.7745,5.365,1,3.53883219909243
"34",450,"A","3",32,260,34.785,4.9692857143,1.253,21.797,1,10.0973593907846
"35",450,"A","4",31,210,64.805,4.985,1.918,24.317,1,20.5436121458715
"36",450,"A","5",38,209,491.3,12.2825,2.1375,303.732,3,65.4268548329609
"37",450,"A","6",35,205,209.19,5.505,2.3955,71.592,1,10.6007861343707
"38",450,"A","7",35,210,148.262,4.0070810811,1.637,31.701,1,5.30471488394994
"39",450,"A","8",32,196,85.227,2.66334375,1.4945,9.723,1,3.39116499156263
"40",450,"A","9",30,200,62.445,1.6432894737,1.1005,6.523,1,4.40945952848343
"41",500,"A","1",65,210,415.909,37.8099090909,16.58,156.77,4,38.2658681682079
"42",500,"A","10",37,195,219.394,6.2684,1.973,72.133,6,8.24378553820998
"43",500,"A","11",33,197,143.963,2.6175090909,1.417,14.922,2,6.2671099134024
"44",500,"A","12",50,200,123.677,2.3784038462,0.955,56.722,5,8.41090561909556
"45",500,"A","13",31,198,153.201,2.6413965517,1.216,34.642,1,4.56508488420533
"46",500,"A","14",36,190,202.016,2.8452957746,1.263,26.992,3,7.71513663737288
"47",500,"A","15",36,190,189.299,3.2637758621,1.0025,85.551,3,22.1237429021402
"48",500,"A","16",49,184,59.795,2.1355357143,0.93,19.689,1,3.17962261911693
"49",500,"A","17",29,196,81.152,2.3186285714,1.228,11.64,1,2.48126311919286
"50",500,"A","18",31,188,52.581,1.1430652174,0.7555,4.931,1,1.91659420152867
"51",500,"A","19",29,184,64.473,3.22365,1.913,11.569,1,4.25245027405769
"52",500,"A","2",26,205,NA,NA,NA,NA,1,2.76706824394822
"53",500,"A","20",26,185,8.28,1.38,1.1065,3.041,1,3.27210431781547
"54",500,"A","3",36,200,296.202,6.3021702128,1.815,63.153,1,16.7854103315945
"55",500,"A","4",33,190,167.434,2.4622647059,1.169,29.055,4,6.20940147410897
"56",500,"A","5",28,190,106.009,2.0786078431,1.396,19.31,1,5.18009008930668
"57",500,"A","6",29,185,162.231,2.2223424658,0.96,33.191,2,5.4793551932078
"58",500,"A","7",27,197,37.926,1.3545,1.0095,7.206,1,4.53798780665322
"59",500,"A","8",27,182,91.99,2.2436585366,1.296,10.757,1,4.52695629903066
"60",500,"A","9",29,190,171.335,3.6454255319,2.051,29.153,4,9.15605446321358
"61",500,"B","1",40,214,NA,NA,NA,NA,10,36.0347054934545
"62",500,"B","10",30,190,NA,NA,NA,NA,5,8.12670494932192
"63",500,"B","2",26,210,NA,NA,NA,NA,4,10.2894768250545
"64",500,"B","3",31,200,NA,NA,NA,NA,2,5.82036654057686
"65",500,"B","4",25,205,NA,NA,NA,NA,1,5.71051661410769
"66",500,"B","5",34,204,NA,NA,NA,NA,2,7.40202674947882
"67",500,"B","6",34,206,NA,NA,NA,NA,5,6.30528878535049
"68",500,"B","7",32,210,NA,NA,NA,NA,5,7.39549412367648
"69",500,"B","8",17,206,NA,NA,NA,NA,5,13.604166028586
"70",500,"B","9",38,208,NA,NA,NA,NA,10,32.5132280771996
"71",550,"A","1",32,202,583.603,26.5274090909,7.0155,376.406,5,31.0662195962109
"72",550,"A","10",30,191,121.4,1.4804878049,0.955,11.386,2,4.99266128098699
"73",550,"A","11",31,184,199.757,9.5122380952,3.65,62.482,5,7.98060148109151
"74",550,"A","12",27,185,57.176,5.7176,2.1275,29.5,1,6.67657596876323
"75",550,"A","13",24,181,128.884,6.1373333333,3.359,33.778,2,9.22370135393957
"76",550,"A","14",22,190,20.035,3.3391666667,2.235,8.875,1,3.65513337649941
"77",550,"A","15",29,197,73.249,1.436254902,0.908,6.44,1,3.34015967682185
"78",550,"A","16",30,190,189.317,2.3087439024,1.1045,41.707,6,4.38862165149834
"79",550,"A","17",34,190,247.676,2.0989491525,1.223,25.938,6,4.91155101096724
"80",550,"A","18",30,191,85.644,1.5025263158,1.127,6.155,1,4.01746188532013
"81",550,"A","19",28,193,100.379,2.1821521739,1.043,16.881,1,2.46779253585061
"82",550,"A","2",15,185,272.526,2.571,1.1975,31.598,3,8.74642784226795
"83",550,"A","20",34,191,76.519,1.5941458333,0.964,6.295,1,3.27973576171415
"84",550,"A","3",26,179,120.231,1.4662317073,0.9595,15.143,6,5.45435605731786
"85",550,"A","4",23,181,268.648,2.4422545455,1.421,19.13,1,5.06853035898967
"86",550,"A","5",27,175,345.852,2.6604,1.257,40.728,4,9.69501590165449
"87",550,"A","6",32,181,120.243,1.9086190476,0.932,19.989,2,14.1582720226257
"88",550,"A","7",22,180,141.856,1.7732,0.877,20.191,9,12.7623143146792
"89",550,"A","8",28,178,131.762,2.6890204082,1.235,28.703,5,13.9866603114062
"90",550,"A","9",26,185,61.509,4.3935,2.2745,17.892,1,6.24846647853162
"91",600,"A","1",29,185,115.602,1.0414594595,0.837,7.12,1,3.06974483195808
"92",600,"A","10",32,189,146.817,1.9067142857,1.084,30.314,2,5.85149553533112
"93",600,"A","11",NA,NA,16.546,1.1818571429,0.952,3.542,1,2.89367125522809
"94",600,"A","12",24,185,163.348,5.4449333333,1.8995,37.489,7,7.16403052292027
"95",600,"A","13",31,195,99.203,1.2400375,0.954,4.944,1,6.65006265634643
"96",600,"A","14",31,185,131.559,1.3848315789,0.961,5.068,1,4.90340018082691
"97",600,"A","15",20,191,120.762,4.0254,1.3735,39.097,4,14.0544180479544
"98",600,"A","16",25,192,83.657,9.2952222222,2.866,60.762,1,5.40894321163263
"99",600,"A","17",NA,NA,77.007,7.7007,2.216,34.959,1,9.18658442149928
"100",600,"A","18",32,195,64.124,10.6873333333,2.8305,43.947,2,6.20429958442799
"101",600,"A","19",20,195,56.3,2.0851851852,0.937,17.182,4,4.01746188532013
"102",600,"A","2",34,185,8.471,0.9412222222,0.812,1.424,2,8.6540934437602
"103",600,"A","20",27,195,249.762,3.5177746479,1.411,50.243,7,8.56387762640266
"104",600,"A","3",31,180,82.835,1.5629245283,0.987,11.79,1,4.32357876455759
"105",600,"A","4",29,181,201.561,3.0083731343,1.219,72.591,6,9.97446740432791
"106",600,"A","5",32,185,133.232,2.0497230769,1.081,21.596,5,5.41664102558034
"107",600,"A","6",35,181,78.626,1.5120384615,0.9845,11.113,1,7.18401002226472
"108",600,"A","7",32,181,119.832,1.6643333333,0.7375,35.377,1,7.00523613687171
"109",600,"A","8",28,191,109.028,1.7873442623,0.986,9.241,1,2.94505234814822
"110",600,"A","9",28,185,94.118,1.8454509804,0.909,13.988,3,4.82251663207776
"111",600,"B","1",47,255,NA,NA,NA,NA,10,29.2920353224786
"112",600,"B","10",28,184,NA,NA,NA,NA,3,10.7242715370322
"113",600,"B","2",29,223,NA,NA,NA,NA,4,16.6766303550807
"114",600,"B","3",34,215,NA,NA,NA,NA,10,20.153411621857
"115",600,"B","4",29,187,NA,NA,NA,NA,6,22.8537378416165
"116",600,"B","5",52,197,NA,NA,NA,NA,8,37.4237892255715
"117",600,"B","6",59,197,NA,NA,NA,NA,3,30.878795313289
"118",600,"B","7",33,194,NA,NA,NA,NA,3,9.39272768333743
"119",600,"B","8",52,192,NA,NA,NA,NA,8,33.1844341019501
"120",600,"B","9",35,196,NA,NA,NA,NA,3,7.63282385490455
"121",650,"A","1",40,190,105.227,3.0064857143,0.909,51.588,13,13.4513939798074
"122",650,"A","10",25,170,478.884,11.402,2.518,165.51,10,20.8880348525178
"123",650,"A","11",23,177,260.355,2.7697340426,1.545,23.803,7,9.89141041510259
"124",650,"A","12",21,178,172.707,2.87845,1.6855,19.139,7,6.2986771097853
"125",650,"A","13",29,175,226.154,5.2593953488,2.805,41.712,6,9.85021150365142
"126",650,"A","14",23,178,108.987,2.3692826087,1.2315,15.517,7,9.31790391307688
"127",650,"A","15",30,181,344.746,4.5966133333,1.641,37.481,7,6.96969631093541
"128",650,"A","16",23,175,187.185,4.2542045455,1.0835,45.056,4,9.19293206762674
"129",650,"A","17",28,185,258.645,4.8800943396,1.734,66.167,8,5.488776427098
"130",650,"A","18",23,188,101.876,1.7267118644,0.999,23.447,1,4.69148164229596
"131",650,"A","19",22,187,207.54,2.8045945946,0.9505,86.84,6,10.6781708795717
"132",650,"A","2",19,186,133.109,1.4468369565,0.8605,12.579,4,6.41664502160851
"133",650,"A","20",26,187,137.264,2.1117538462,1.228,9.182,3,3.75632799419859
"134",650,"A","3",27,174,116.958,1.4091325301,0.904,7.808,9,12.9610956327002
"135",650,"A","4",26,180,213.149,1.4905524476,0.903,9.369,4,6.57089542350711
"136",650,"A","5",20,175,262.142,1.8460704225,1.0325,19.466,5,8.70823365174209
"137",650,"A","6",35,161,414.025,9.6284883721,0.989,350.657,9,33.3766385365573
"138",650,"A","7",21,165,204.592,2.0058039216,0.8745,41.591,6,7.73584729252933
