Species,Elevation,Transect,Replicate,Treatment,Time,Mass,EmptyMass,AdjMass,DryMass,Area_Wet
Roccellina,500,B,1,air,,0.4115,0,0.4115,0.3822,1.655
Roccellina,500,B,1,blot,,0.5448,0,0.5448,0.3822,1.655
Roccellina,500,B,1,dry,0,0.5301,0,0.5301,0.3822,1.655
Roccellina,500,B,1,dry,10,2.9369,2.4202,0.5167,0.3822,1.655
Roccellina,500,B,1,dry,20,2.922,2.4202,0.5018,0.3822,1.655
Roccellina,500,B,1,dry,30,2.9081,2.4202,0.4879,0.3822,1.655
Roccellina,500,B,1,dry,40,2.8965,2.4202,0.4763,0.3822,1.655
Roccellina,500,B,1,dry,50,2.8853,2.4202,0.4651,0.3822,1.655
Roccellina,500,B,1,dry,60,2.8759,2.4202,0.4557,0.3822,1.655
Roccellina,500,B,1,dry,70,2.8674,2.4202,0.4472,0.3822,1.655
Roccellina,500,B,1,dry,80,2.8601,2.4202,0.4399,0.3822,1.655
Roccellina,500,B,1,dry,90,2.831,2.4202,0.4108,0.3822,1.655
Roccellina,500,B,2,air,,0.3005,0,0.3005,0.2803,1.114
Roccellina,500,B,2,blot,,0.4278,0,0.4278,0.2803,1.114
Roccellina,500,B,2,dry,0,0.4102,0,0.4102,0.2803,1.114
Roccellina,500,B,2,dry,10,2.8229,2.4283,0.3946,0.2803,1.114
Roccellina,500,B,2,dry,20,2.8109,2.4283,0.3826,0.2803,1.114
Roccellina,500,B,2,dry,30,2.798,2.4283,0.3697,0.2803,1.114
Roccellina,500,B,2,dry,40,2.7868,2.4283,0.3585,0.2803,1.114
Roccellina,500,B,2,dry,50,2.7761,2.4283,0.3478,0.2803,1.114
Roccellina,500,B,2,dry,60,2.7672,2.4283,0.3389,0.2803,1.114
Roccellina,500,B,2,dry,70,2.7592,2.4283,0.3309,0.2803,1.114
Roccellina,500,B,2,dry,80,2.7526,2.4283,0.3243,0.2803,1.114
Roccellina,500,B,2,dry,90,2.7468,2.4283,0.3185,0.2803,1.114
Roccellina,500,B,3,air,,0.3111,0,0.3111,0.2882,1.394
Roccellina,500,B,3,blot,,0.4458,0,0.4458,0.2882,1.394
Roccellina,500,B,3,dry,0,0.4347,0,0.4347,0.2882,1.394
Roccellina,500,B,3,dry,10,2.571,2.1534,0.4176,0.2882,1.394
Roccellina,500,B,3,dry,20,2.5548,2.1534,0.4014,0.2882,1.394
Roccellina,500,B,3,dry,30,2.5464,2.1534,0.393,0.2882,1.394
Roccellina,500,B,3,dry,40,2.5317,2.1534,0.3783,0.2882,1.394
Roccellina,500,B,3,dry,50,2.5204,2.1534,0.367,0.2882,1.394
Roccellina,500,B,3,dry,60,2.5114,2.1534,0.358,0.2882,1.394
Roccellina,500,B,3,dry,70,2.5021,2.1534,0.3487,0.2882,1.394
Roccellina,500,B,3,dry,80,2.4937,2.1534,0.3403,0.2882,1.394
Roccellina,500,B,3,dry,90,2.4875,2.1534,0.3341,0.2882,1.394
Roccellina,500,B,4,air,,0.3578,0,0.3578,0.3333,1.366
Roccellina,500,B,4,blot,,0.5211,0,0.5211,0.3333,1.366
Roccellina,500,B,4,dry,0,0.5133,0,0.5133,0.3333,1.366
Roccellina,500,B,4,dry,10,2.7167,2.2173,0.4994,0.3333,1.366
Roccellina,500,B,4,dry,20,2.7033,2.2173,0.486,0.3333,1.366
Roccellina,500,B,4,dry,30,2.6908,2.2173,0.4735,0.3333,1.366
Roccellina,500,B,4,dry,40,2.6783,2.2173,0.461,0.3333,1.366
Roccellina,500,B,4,dry,50,2.6654,2.2173,0.4481,0.3333,1.366
Roccellina,500,B,4,dry,60,2.6536,2.2173,0.4363,0.3333,1.366
Roccellina,500,B,4,dry,70,2.642,2.2173,0.4247,0.3333,1.366
Roccellina,500,B,4,dry,80,2.6311,2.2173,0.4138,0.3333,1.366
Roccellina,500,B,4,dry,90,2.6217,2.2173,0.4044,0.3333,1.366
Roccellina,400,B,1,dry ,,0.1824,0,0.1824,0.1678,1.004
Roccellina,400,B,1,blot,,0.2665,0,0.2665,0.1678,1.004
Roccellina,400,B,1,dry,0,0.2503,0,0.2503,0.1678,1.004
Roccellina,400,B,1,dry,10,2.165,1.9256,0.2394,0.1678,1.004
Roccellina,400,B,1,dry,20,2.1503,1.9256,0.2247,0.1678,1.004
Roccellina,400,B,1,dry,30,2.1445,1.9256,0.2189,0.1678,1.004
Roccellina,400,B,1,dry,40,2.1356,1.9256,0.21,0.1678,1.004
Roccellina,400,B,1,dry,50,2.1281,1.9256,0.2025,0.1678,1.004
Roccellina,400,B,1,dry,60,2.1221,1.9256,0.1965,0.1678,1.004
Roccellina,400,B,1,dry,70,2.1174,1.9256,0.1918,0.1678,1.004
Roccellina,400,B,1,dry,80,2.1124,1.9256,0.1868,0.1678,1.004
Roccellina,400,B,1,dry,90,2.1103,1.9256,0.1847,0.1678,1.004
Roccellina,400,B,2,air,,0.2247,0,0.2247,0.2041,1.317
Roccellina,400,B,2,blot,,0.3658,0,0.3658,0.2041,1.317
Roccellina,400,B,2,dry,0,0.341,0,0.341,0.2041,1.317
Roccellina,400,B,2,dry,10,2.0236,1.6971,0.3265,0.2041,1.317
Roccellina,400,B,2,dry,20,2.0093,1.6971,0.3122,0.2041,1.317
Roccellina,400,B,2,dry,30,1.9958,1.6971,0.2987,0.2041,1.317
Roccellina,400,B,2,dry,40,1.9836,1.6971,0.2865,0.2041,1.317
Roccellina,400,B,2,dry,50,1.9727,1.6971,0.2756,0.2041,1.317
Roccellina,400,B,2,dry,60,1.9628,1.6971,0.2657,0.2041,1.317
Roccellina,400,B,2,dry,70,1.9538,1.6971,0.2567,0.2041,1.317
Roccellina,400,B,2,dry,80,1.9461,1.6971,0.249,0.2041,1.317
Roccellina,400,B,2,dry,90,1.9398,1.6971,0.2427,0.2041,1.317
Roccellina,400,B,3,air,,0.1348,0,0.1348,0.1224,0.841
Roccellina,400,B,3,blot,,0.1924,0,0.1924,0.1224,0.841
Roccellina,400,B,3,dry,0,0.1798,0,0.1798,0.1224,0.841
Roccellina,400,B,3,dry,10,1.6786,1.5082,0.1704,0.1224,0.841
Roccellina,400,B,3,dry,20,1.671,1.5082,0.1628,0.1224,0.841
Roccellina,400,B,3,dry,30,1.6643,1.5082,0.1561,0.1224,0.841
Roccellina,400,B,3,dry,40,1.6586,1.5082,0.1504,0.1224,0.841
Roccellina,400,B,3,dry,50,1.6538,1.5082,0.1456,0.1224,0.841
Roccellina,400,B,3,dry,60,1.6496,1.5082,0.1414,0.1224,0.841
