,Elevation,Quadrat,Transect,R_Sum,R_Mean,R_Median,R_Max,Crust,Soil
1,450,1,T450,84.049,3.00175,2.4765,13.319,0,
2,450,2,T450,200.134,2.7415616438,1.053,22.302,0,
3,450,3,T450,34.785,4.9692857143,1.253,21.797,0,
4,450,4,T450,64.805,4.985,1.918,24.317,0,
5,450,5,T450,491.3,12.2825,2.1375,303.732,0,
6,450,6,T450,209.19,5.505,2.3955,71.592,0,
7,450,7,T450,148.262,4.0070810811,1.637,31.701,0,
8,450,8,T450,85.227,2.66334375,1.4945,9.723,0,
9,450,9,T450,62.445,1.6432894737,1.1005,6.523,0,
10,450,10,T450,121.821,2.9005,1.308,18.341,0,
11,450,11,T450,38.362,1.4208148148,0.89,10.691,0,
12,450,12,T450,122.4,4.5333333333,1.681,30.077,0,
13,450,13,T450,111.145,3.7048333333,1.5195,38.541,0,
14,450,14,T450,104.707,2.8299189189,1.228,23.743,0,
15,450,17,T450,12.485,6.2425,6.2425,6.4,0,
16,450,19,T450,61.473,1.983,1.387,5.772,0,
17,450,20,T450,31.985,1.9990625,1.7745,5.365,0,
18,500,1,T500,415.909,37.8099090909,16.58,156.77,0,
19,500,3,T500,296.202,6.3021702128,1.815,63.153,0,
20,500,4,T500,167.434,2.4622647059,1.169,29.055,0,
21,500,5,T500,106.009,2.0786078431,1.396,19.31,0,
22,500,6,T500,162.231,2.2223424658,0.96,33.191,0,
23,500,7,T500,37.926,1.3545,1.0095,7.206,0,
24,500,8,T500,91.99,2.2436585366,1.296,10.757,0,
25,500,9,T500,171.335,3.6454255319,2.051,29.153,0,
26,500,10,T500,219.394,6.2684,1.973,72.133,0,
27,500,11,T500,143.963,2.6175090909,1.417,14.922,0,
28,500,12,T500,123.677,2.3784038462,0.955,56.722,0,
29,500,13,T500,153.201,2.6413965517,1.216,34.642,0,
30,500,14,T500,202.016,2.8452957746,1.263,26.992,0,
31,500,15,T500,189.299,3.2637758621,1.0025,85.551,0,
32,500,16,T500,59.795,2.1355357143,0.93,19.689,0,
33,500,17,T500,81.152,2.3186285714,1.228,11.64,0,
34,500,18,T500,52.581,1.1430652174,0.7555,4.931,0,
35,500,19,T500,64.473,3.22365,1.913,11.569,0,
36,500,20,T500,8.28,1.38,1.1065,3.041,0,
37,550,1,T550,583.603,26.5274090909,7.0155,376.406,0,
38,550,2,T550,272.526,2.571,1.1975,31.598,0,
39,550,3,T550,120.231,1.4662317073,0.9595,15.143,0,
40,550,4,T550,268.648,2.4422545455,1.421,19.13,0,
41,550,5,T550,345.852,2.6604,1.257,40.728,0,
42,550,6,T550,120.243,1.9086190476,0.932,19.989,0,
43,550,7,T550,141.856,1.7732,0.877,20.191,306,
44,550,8,T550,131.762,2.6890204082,1.235,28.703,,
45,550,9,T550,61.509,4.3935,2.2745,17.892,,
46,550,10,T550,121.4,1.4804878049,0.955,11.386,,
47,550,11,T550,199.757,9.5122380952,3.65,62.482,,
48,550,12,T550,57.176,5.7176,2.1275,29.5,,
49,550,13,T550,128.884,6.1373333333,3.359,33.778,,
50,550,14,T550,20.035,3.3391666667,2.235,8.875,,
51,550,15,T550,73.249,1.436254902,0.908,6.44,,
52,550,16,T550,189.317,2.3087439024,1.1045,41.707,,
53,550,17,T550,247.676,2.0989491525,1.223,25.938,,
54,550,18,T550,85.644,1.5025263158,1.127,6.155,,
55,550,19,T550,100.379,2.1821521739,1.043,16.881,,
56,550,20,T550,76.519,1.5941458333,0.964,6.295,,
57,600,1,T600,115.602,1.0414594595,0.837,7.12,,
58,600,2,T600,8.471,0.9412222222,0.812,1.424,,
59,600,3,T600,82.835,1.5629245283,0.987,11.79,,
60,600,4,T600,201.561,3.0083731343,1.219,72.591,,
61,600,5,T600,133.232,2.0497230769,1.081,21.596,,
62,600,6,T600,78.626,1.5120384615,0.9845,11.113,,
63,600,7,T600,119.832,1.6643333333,0.7375,35.377,,
64,600,8,T600,109.028,1.7873442623,0.986,9.241,,
65,600,9,T600,94.118,1.8454509804,0.909,13.988,,
66,600,10,T600,146.817,1.9067142857,1.084,30.314,,
67,600,11,T600,16.546,1.1818571429,0.952,3.542,,
68,600,12,T600,163.348,5.4449333333,1.8995,37.489,,
69,600,13,T600,99.203,1.2400375,0.954,4.944,,
70,600,14,T600,131.559,1.3848315789,0.961,5.068,,
71,600,15,T600,120.762,4.0254,1.3735,39.097,,
72,600,16,T600,83.657,9.2952222222,2.866,60.762,,
73,600,17,T600,77.007,7.7007,2.216,34.959,,
74,600,18,T600,64.124,10.6873333333,2.8305,43.947,,
75,600,19,T600,56.3,2.0851851852,0.937,17.182,,
76,600,20,T600,249.762,3.5177746479,1.411,50.243,,
77,650,1,T650,105.227,3.0064857143,0.909,51.588,,
78,650,2,T650,133.109,1.4468369565,0.8605,12.579,,
79,650,3,T650,116.958,1.4091325301,0.904,7.808,,
80,650,4,T650,213.149,1.4905524476,0.903,9.369,,
81,650,5,T650,262.142,1.8460704225,1.0325,19.466,,
82,650,6,T650,414.025,9.6284883721,0.989,350.657,,
83,650,7,T650,204.592,2.0058039216,0.8745,41.591,,
84,650,8,T650,247.949,2.1012627119,1.158,26.097,,
85,650,9,T650,218.141,2.7267625,1.5195,22.291,,
86,650,10,T650,478.884,11.402,2.518,165.51,,
87,650,11,T650,260.355,2.7697340426,1.545,23.803,,
88,650,12,T650,172.707,2.87845,1.6855,19.139,,
89,650,13,T650,226.154,5.2593953488,2.805,41.712,,
90,650,14,T650,108.987,2.3692826087,1.2315,15.517,,
91,650,15,T650,344.746,4.5966133333,1.641,37.481,,
92,650,16,T650,187.185,4.2542045455,1.0835,45.056,,
93,650,17,T650,258.645,4.8800943396,1.734,66.167,,
94,650,18,T650,101.876,1.7267118644,0.999,23.447,,
95,650,19,T650,207.54,2.8045945946,0.9505,86.84,,
96,650,20,T650,137.264,2.1117538462,1.228,9.182,,
97,700,1,T700,202.14,1.9251428571,0.796,42.924,,
98,700,2,T700,189.937,3.0635,0.9435,95.609,,
99,700,3,T700,367.829,2.29893125,1.393,20.641,,
100,700,4,T700,365.588,3.6928080808,1.636,37.816,,
101,700,5,T700,241.4,1.463030303,0.956,9.526,,
102,700,6,T700,298.016,2.2407218045,1.023,31.82,,
103,700,7,T700,193.838,1.957959596,1.029,22.036,,
104,700,8,T700,98.146,1.7218596491,0.745,19.986,,
105,700,9,T700,44.816,1.4456774194,1.126,8.065,,
106,700,10,T700,115.217,1.7457121212,1.0215,7.884,,
107,700,11,T700,83.406,1.3673114754,0.856,8.157,,
108,700,12,T700,264.011,3.8825147059,1.398,49.775,,
109,700,13,T700,185.458,1.9119381443,1.205,15.836,,
110,700,14,T700,214.447,2.6474938272,0.967,37.979,,
111,700,15,T700,234.113,2.6012555556,1.0815,44.502,,
112,700,16,T700,364.165,3.1944298246,1.667,37.746,,
113,700,17,T700,278.85,6.3375,3.723,82.164,,
114,700,18,T700,264.46,2.592745098,1.189,35.745,,
115,700,1,T700b,277.51,1.38755,0.816,32.869,,
116,700,2,T700b,307.134,1.5750461538,0.921,17.88,,
117,700,4,T700b,124.939,1.1462293578,0.774,6.485,,
118,700,5,T700b,130.063,2.4085740741,1.159,14.971,,
119,700,6,T700b,200.401,2.0242525253,0.965,23.919,,
120,700,7,T700b,209.109,3.2170615385,1.161,93.558,,
121,700,8,T700b,195.297,1.4050143885,0.86,12.475,,
122,700,9,T700b,184.045,1.7528095238,1.123,15.527,,
123,700,10,T700b,150.044,1.6309130435,0.9495,14.334,,
124,700,11,T700b,283.768,1.8668947368,1.0115,39.587,,
125,700,12,T700b,145.686,1.5835434783,0.987,27.549,,
126,700,13,T700b,411.665,2.6388782051,1.1435,65.782,,
127,700,14,T700b,258.604,2.02034375,1.2245,13.852,,
128,700,15,T700b,70.739,2.619962963,1.064,18.267,,
129,750,1,T750,197.941,1.4662296296,0.934,8.021,,
130,750,2,T750,296.132,1.6921828571,1.072,20.369,,
131,750,3,T750,185.59,2.5423287671,1.091,40.025,,
132,750,4,T750,350.523,1.6227916667,1.11,13.107,,
133,750,5,T750,55.988,1.9306206897,0.955,6.699,,
134,750,6,T750,343.169,2.433822695,1.058,98.486,,
135,750,7,T750,112.236,2.4941333333,0.976,21.105,,
136,750,8,T750,121.98,1.767826087,1.069,8.128,,
137,750,9,T750,351.014,2.1938375,1.4675,35.872,,
138,750,10,T750,442.49,2.5876608187,1.45,41.865,,
139,750,11,T750,58.102,1.45255,0.9075,10.663,,
140,750,12,T750,142.026,2.5361785714,0.9205,37.918,,
141,750,13,T750,130.624,1.2681941748,0.765,27.022,,
142,750,14,T750,87.667,1.3915396825,0.95,14.192,,
143,750,15,T750,112.183,5.0992272727,1.6165,43.582,,
144,750,16,T750,191.417,3.1379836066,1.535,24.168,,
145,750,17,T750,164.803,2.0600375,0.9815,28.865,,
146,750,18,T750,90.848,1.4195,0.86,25.305,,
147,750,19,T750,120.217,1.5412435897,0.9485,8.722,,
148,750,20,T750,247.857,3.0982125,1.1095,65.848,,
149,800,1,T800,259.234,2.5666732673,1.312,23.154,,
150,800,2,T800,373.183,1.6225347826,1.117,7.092,,
151,800,3,T800,213.932,1.5502318841,0.9795,15.382,,
152,800,4,T800,61.585,1.4322093023,0.908,10.049,,
153,800,5,T800,68.694,1.8077368421,1.274,10.346,,
154,800,6,T800,145.341,1.3583271028,0.982,11.969,,
155,800,7,T800,151.719,1.827939759,1.058,11.994,,
156,800,8,T800,125.526,1.04605,0.75,6.617,,
157,800,9,T800,71.741,1.120953125,0.8075,6.33,,
158,800,10,T800,155.353,1.1017943262,0.824,9.448,,
159,800,11,T800,107.776,2.4494545455,1.2195,19.712,,
160,800,12,T800,69.371,2.6681153846,0.7405,44.245,,
161,800,13,T800,223.82,1.7216923077,1.116,19.395,,
162,800,14,T800,324.163,2.7013583333,1.1805,102.73,,
163,800,15,T800,499.668,3.7853636364,1.7015,40.027,,
164,800,16,T800,276.117,12.5507727273,3.2625,147.018,,
165,800,17,T800,136.283,1.7035375,0.8515,33.757,,
166,800,18,T800,120.793,2.5165208333,1.1645,29.926,,
167,800,19,T800,145.554,2.7463018868,0.921,35.839,,
168,800,20,T800,36.072,1.44288,0.916,11.717,,
169,850,1,T850,66.78,1.1318644068,0.776,6.614,,
170,850,2,T850,149.236,1.4775841584,0.988,21.228,,
171,850,3,T850,175.694,2.0669882353,0.83,61.971,,
172,850,4,T850,144.418,1.3624339623,1.0385,8.002,,
173,850,5,T850,140.945,1.1745416667,0.8015,6.547,,
174,850,6,T850,172.84,1.3295384615,0.9135,8.619,,
175,850,7,T850,333.907,2.1267961783,1.225,17.065,,
176,850,8,T850,292.453,2.339624,1.064,84.13,,
177,850,9,T850,366.342,2.3186202532,1.105,33.149,,
178,850,10,T850,214.009,1.3544873418,0.8295,17.445,,
179,850,11,T850,313.072,2.0329350649,0.922,58.455,,
180,850,12,T850,216.67,1.6796124031,1.035,17.956,,
181,850,13,T850,244.148,1.5452405063,1.01,9.343,,
182,850,14,T850,435.234,9.2602978723,2.015,170.359,,
183,850,15,T850,282.746,1.8009299363,0.936,39.839,,
184,850,16,T850,248.562,1.5156219512,0.862,28.571,,
185,850,17,T850,285.358,1.7399878049,0.8965,33.079,,
186,850,18,T850,276.636,1.3560588235,0.9635,9.976,,
187,850,19,T850,386.353,1.9611827411,1.103,20.638,,
188,850,20,T850,341.65,1.6913366337,0.9055,17.051,,
