"","Label","X","Area","Quadrat","Transect"
"1","IMG_0046.JPG",450,5.368,1,"T450"
"2","IMG_0046.JPG",450,0.935,1,"T450"
"3","IMG_0046.JPG",450,13.319,1,"T450"
"4","IMG_0046.JPG",450,5.149,1,"T450"
"5","IMG_0046.JPG",450,1.465,1,"T450"
"6","IMG_0046.JPG",450,4.182,1,"T450"
"7","IMG_0046.JPG",450,2.633,1,"T450"
"8","IMG_0046.JPG",450,0.671,1,"T450"
"9","IMG_0046.JPG",450,1.342,1,"T450"
"10","IMG_0046.JPG",450,1.222,1,"T450"
"11","IMG_0046.JPG",450,0.554,1,"T450"
"13","IMG_0046.JPG",450,9.823,1,"T450"
"14","IMG_0046.JPG",450,3.152,1,"T450"
"16","IMG_0046.JPG",450,3.673,1,"T450"
"18","IMG_0046.JPG",450,0.589,1,"T450"
"19","IMG_0046.JPG",450,1.557,1,"T450"
"21","IMG_0046.JPG",450,2.951,1,"T450"
"22","IMG_0046.JPG",450,2.211,1,"T450"
"24","IMG_0046.JPG",450,2.386,1,"T450"
"25","IMG_0046.JPG",450,2.998,1,"T450"
"26","IMG_0046.JPG",450,2.567,1,"T450"
"27","IMG_0046.JPG",450,3.292,1,"T450"
"28","IMG_0046.JPG",450,3.291,1,"T450"
"30","IMG_0046.JPG",450,1.579,1,"T450"
"31","IMG_0046.JPG",450,1.002,1,"T450"
"33","IMG_0046.JPG",450,1.092,1,"T450"
"34","IMG_0046.JPG",450,1.174,1,"T450"
"35","IMG_0046.JPG",450,3.872,1,"T450"
"36","IMG_0056.JPG",450,1.199,2,"T450"
"37","IMG_0056.JPG",450,6.927,2,"T450"
"38","IMG_0056.JPG",450,2.677,2,"T450"
"39","IMG_0056.JPG",450,1.844,2,"T450"
"40","IMG_0056.JPG",450,5.731,2,"T450"
"41","IMG_0056.JPG",450,1.968,2,"T450"
"42","IMG_0056.JPG",450,2.453,2,"T450"
"43","IMG_0056.JPG",450,0.574,2,"T450"
"44","IMG_0056.JPG",450,2.343,2,"T450"
"45","IMG_0056.JPG",450,1.016,2,"T450"
"46","IMG_0056.JPG",450,3.454,2,"T450"
"47","IMG_0056.JPG",450,10.235,2,"T450"
"48","IMG_0056.JPG",450,0.529,2,"T450"
"49","IMG_0056.JPG",450,1.02,2,"T450"
"50","IMG_0056.JPG",450,22.302,2,"T450"
"51","IMG_0056.JPG",450,3.714,2,"T450"
"52","IMG_0056.JPG",450,1.421,2,"T450"
"53","IMG_0056.JPG",450,2.798,2,"T450"
"54","IMG_0056.JPG",450,2.745,2,"T450"
"59","IMG_0056.JPG",450,10.443,2,"T450"
"60","IMG_0056.JPG",450,0.924,2,"T450"
"70","IMG_0056.JPG",450,1.04,2,"T450"
"74","IMG_0056.JPG",450,1.64,2,"T450"
"76","IMG_0056.JPG",450,0.54,2,"T450"
"77","IMG_0056.JPG",450,1.733,2,"T450"
"78","IMG_0056.JPG",450,0.633,2,"T450"
"79","IMG_0056.JPG",450,1.008,2,"T450"
"80","IMG_0056.JPG",450,0.819,2,"T450"
"81","IMG_0056.JPG",450,0.614,2,"T450"
"82","IMG_0056.JPG",450,1.053,2,"T450"
"87","IMG_0056.JPG",450,0.504,2,"T450"
"88","IMG_0056.JPG",450,1.336,2,"T450"
"89","IMG_0056.JPG",450,0.571,2,"T450"
"90","IMG_0056.JPG",450,0.683,2,"T450"
"91","IMG_0056.JPG",450,0.664,2,"T450"
"93","IMG_0056.JPG",450,2.627,2,"T450"
"94","IMG_0056.JPG",450,0.798,2,"T450"
"97","IMG_0056.JPG",450,0.543,2,"T450"
"101","IMG_0056.JPG",450,8.801,2,"T450"
"103","IMG_0056.JPG",450,4.425,2,"T450"
"105","IMG_0056.JPG",450,3.772,2,"T450"
"108","IMG_0056.JPG",450,0.945,2,"T450"
"109","IMG_0056.JPG",450,0.833,2,"T450"
"110","IMG_0056.JPG",450,0.631,2,"T450"
"112","IMG_0056.JPG",450,9.587,2,"T450"
"113","IMG_0056.JPG",450,1.006,2,"T450"
"116","IMG_0056.JPG",450,0.596,2,"T450"
"118","IMG_0056.JPG",450,0.521,2,"T450"
"121","IMG_0056.JPG",450,2.712,2,"T450"
"122","IMG_0056.JPG",450,0.678,2,"T450"
"123","IMG_0056.JPG",450,0.515,2,"T450"
"124","IMG_0056.JPG",450,0.523,2,"T450"
"125","IMG_0056.JPG",450,0.534,2,"T450"
"126","IMG_0056.JPG",450,0.532,2,"T450"
"127","IMG_0056.JPG",450,0.858,2,"T450"
"128","IMG_0056.JPG",450,2.867,2,"T450"
"129","IMG_0056.JPG",450,4.107,2,"T450"
"130","IMG_0056.JPG",450,16.196,2,"T450"
"133","IMG_0056.JPG",450,0.799,2,"T450"
"134","IMG_0056.JPG",450,1.025,2,"T450"
"136","IMG_0056.JPG",450,0.864,2,"T450"
"138","IMG_0056.JPG",450,1.486,2,"T450"
"140","IMG_0056.JPG",450,1.085,2,"T450"
"142","IMG_0056.JPG",450,1.623,2,"T450"
"143","IMG_0056.JPG",450,1.053,2,"T450"
"144","IMG_0056.JPG",450,0.532,2,"T450"
"148","IMG_0056.JPG",450,0.706,2,"T450"
"149","IMG_0056.JPG",450,0.886,2,"T450"
"150","IMG_0056.JPG",450,1.982,2,"T450"
"152","IMG_0056.JPG",450,2.149,2,"T450"
"153","IMG_0056.JPG",450,1.29,2,"T450"
"154","IMG_0056.JPG",450,0.624,2,"T450"
"156","IMG_0056.JPG",450,20.268,2,"T450"
"157","IMG_0062.JPG",450,21.797,3,"T450"
"158","IMG_0062.JPG",450,7.209,3,"T450"
"159","IMG_0062.JPG",450,0.523,3,"T450"
"160","IMG_0062.JPG",450,1.778,3,"T450"
"161","IMG_0062.JPG",450,1.253,3,"T450"
"162","IMG_0062.JPG",450,1.207,3,"T450"
"163","IMG_0062.JPG",450,1.018,3,"T450"
"164","IMG_0070.JPG",450,24.317,4,"T450"
"165","IMG_0070.JPG",450,1.039,4,"T450"
"166","IMG_0070.JPG",450,4.729,4,"T450"
"167","IMG_0070.JPG",450,0.62,4,"T450"
"168","IMG_0070.JPG",450,5.236,4,"T450"
"169","IMG_0070.JPG",450,1.336,4,"T450"
"170","IMG_0070.JPG",450,1.089,4,"T450"
"171","IMG_0070.JPG",450,11.812,4,"T450"
"172","IMG_0070.JPG",450,0.529,4,"T450"
"173","IMG_0070.JPG",450,3.097,4,"T450"
"174","IMG_0070.JPG",450,1.566,4,"T450"
"178","IMG_0070.JPG",450,7.517,4,"T450"
"179","IMG_0070.JPG",450,1.918,4,"T450"
"180","IMG_0075.JPG",450,5.42,5,"T450"
"181","IMG_0075.JPG",450,3.472,5,"T450"
"182","IMG_0075.JPG",450,5.196,5,"T450"
"183","IMG_0075.JPG",450,2.141,5,"T450"
"186","IMG_0075.JPG",450,10.511,5,"T450"
"187","IMG_0075.JPG",450,2.907,5,"T450"
"188","IMG_0075.JPG",450,1.427,5,"T450"
"190","IMG_0075.JPG",450,3.784,5,"T450"
"191","IMG_0075.JPG",450,3.015,5,"T450"
"192","IMG_0075.JPG",450,1.043,5,"T450"
"193","IMG_0075.JPG",450,1.018,5,"T450"
"195","IMG_0075.JPG",450,4.07,5,"T450"
"197","IMG_0075.JPG",450,17.503,5,"T450"
"198","IMG_0075.JPG",450,4.914,5,"T450"
"200","IMG_0075.JPG",450,0.642,5,"T450"
"201","IMG_0075.JPG",450,0.712,5,"T450"
"203","IMG_0075.JPG",450,0.868,5,"T450"
"204","IMG_0075.JPG",450,0.663,5,"T450"
"205","IMG_0075.JPG",450,2.691,5,"T450"
"206","IMG_0075.JPG",450,23.264,5,"T450"
"207","IMG_0075.JPG",450,0.846,5,"T450"
"209","IMG_0075.JPG",450,0.776,5,"T450"
