,Elevation,Transect,Quadrat,Point_1,Point_2,Depth
1,450,A,1,A,1,15
2,450,A,1,A,2,15
3,450,A,1,A,3,13
4,450,A,1,A,4,13
5,450,A,1,A,5,10
6,450,A,1,B,1,17
7,450,A,1,B,2,15
8,450,A,1,B,3,12
9,450,A,1,B,4,11
10,450,A,1,B,5,15
11,450,A,1,C,1,15
12,450,A,1,C,2,15
13,450,A,1,C,3,13
14,450,A,1,C,4,16
15,450,A,1,C,5,12
16,450,A,1,D,1,17
17,450,A,1,D,2,16
18,450,A,1,D,3,14
19,450,A,1,D,4,11
20,450,A,1,D,5,22
21,450,A,1,E,1,15
22,450,A,1,E,2,11
23,450,A,1,E,3,10
24,450,A,1,E,4,13
25,450,A,1,E,5,25
26,450,A,2,A,1,39
27,450,A,2,A,2,40
28,450,A,2,A,3,45
29,450,A,2,A,4,42
30,450,A,2,A,5,37
31,450,A,2,B,1,30
32,450,A,2,B,2,35
33,450,A,2,B,3,39
34,450,A,2,B,4,39
35,450,A,2,B,5,40
36,450,A,2,C,1,29
37,450,A,2,C,2,33
38,450,A,2,C,3,37
39,450,A,2,C,4,37
40,450,A,2,C,5,34
41,450,A,2,D,1,16
42,450,A,2,D,2,24
43,450,A,2,D,3,35
44,450,A,2,D,4,38
45,450,A,2,D,5,32
46,450,A,2,E,1,19
47,450,A,2,E,2,25
48,450,A,2,E,3,30
49,450,A,2,E,4,35
50,450,A,2,E,5,25
51,450,A,3,A,1,39
52,450,A,3,A,2,40
53,450,A,3,A,3,40
54,450,A,3,A,4,30
55,450,A,3,A,5,27
56,450,A,3,B,1,42
57,450,A,3,B,2,37
58,450,A,3,B,3,36
59,450,A,3,B,4,30
60,450,A,3,B,5,20
61,450,A,3,C,1,42
62,450,A,3,C,2,35
63,450,A,3,C,3,31
64,450,A,3,C,4,22
65,450,A,3,C,5,23
66,450,A,3,D,1,36
67,450,A,3,D,2,30
68,450,A,3,D,3,26
69,450,A,3,D,4,15
70,450,A,3,D,5,17
71,450,A,3,E,1,26
72,450,A,3,E,2,25
73,450,A,3,E,3,15
74,450,A,3,E,4,7
75,450,A,3,E,5,10
76,450,A,4,A,1,13
77,450,A,4,A,2,20
78,450,A,4,A,3,16
79,450,A,4,A,4,16
80,450,A,4,A,5,25
81,450,A,4,B,1,13
82,450,A,4,B,2,16
83,450,A,4,B,3,16
84,450,A,4,B,4,16
85,450,A,4,B,5,23
86,450,A,4,C,1,114
87,450,A,4,C,2,13
88,450,A,4,C,3,16
89,450,A,4,C,4,15
90,450,A,4,C,5,18
91,450,A,4,D,1,10
92,450,A,4,D,2,12
93,450,A,4,D,3,13
94,450,A,4,D,4,13
95,450,A,4,D,5,11
96,450,A,4,E,1,4
97,450,A,4,E,2,7
98,450,A,4,E,3,7
99,450,A,4,E,4,9
100,450,A,4,E,5,15
101,450,A,5,A,1,150
102,450,A,5,A,2,150
103,450,A,5,A,3,150
104,450,A,5,A,4,135
105,450,A,5,A,5,30
106,450,A,5,B,1,150
107,450,A,5,B,2,150
108,450,A,5,B,3,80
109,450,A,5,B,4,29
110,450,A,5,B,5,5
111,450,A,5,C,1,150
112,450,A,5,C,2,150
113,450,A,5,C,3,71
114,450,A,5,C,4,3
115,450,A,5,C,5,2
116,450,A,5,D,1,150
117,450,A,5,D,2,150
118,450,A,5,D,3,20
119,450,A,5,D,4,17
120,450,A,5,D,5,10
121,450,A,5,E,1,150
122,450,A,5,E,2,150
123,450,A,5,E,3,32
124,450,A,5,E,4,27
125,450,A,5,E,5,3
126,450,A,6,A,1,30
127,450,A,6,A,2,25
128,450,A,6,A,3,33
129,450,A,6,A,4,17
130,450,A,6,A,5,53
131,450,A,6,B,1,29
132,450,A,6,B,2,35
133,450,A,6,B,3,45
134,450,A,6,B,4,53
135,450,A,6,B,5,53
136,450,A,6,C,1,32
137,450,A,6,C,2,37
138,450,A,6,C,3,46
139,450,A,6,C,4,55
140,450,A,6,C,5,51
141,450,A,6,D,1,31
142,450,A,6,D,2,37
143,450,A,6,D,3,45
144,450,A,6,D,4,51
145,450,A,6,D,5,30
146,450,A,6,E,1,29
147,450,A,6,E,2,32
