"","Elevation","Species","x"
"1",450,"",14
"2",500,"",11
"3",550,"",5
"4",600,"",8
"5",550,"Amigdalaria",1
"6",650,"Amigdalaria",4
"7",700,"Amigdalaria",8
"8",750,"Amigdalaria",7
"9",800,"Amigdalaria",3
"10",850,"Amigdalaria",2
"11",500,"Arctothelium",5
"12",550,"Arctothelium",8
"13",600,"Arctothelium",9
"14",650,"Arctothelium",17
"15",700,"Arctothelium",30
"16",750,"Arctothelium",20
"17",800,"Arctothelium",18
"18",850,"Arctothelium",19
"19",500,"ArthoniaRocc1",1
"20",800,"Aspicilia1",2
"21",850,"Aspicilia1",1
"22",650,"BlackRhizo",1
"23",700,"BlackRhizo",1
"24",700,"BrownAspicilia",7
"25",750,"BrownAspicilia",10
"26",650,"BrownConvexBuellia",10
"27",700,"BrownConvexBuellia",3
"28",800,"BrownCrust1",7
"29",750,"BrownIsidiate",1
"30",550,"BrownLumpy",1
"31",800,"BrownSor",7
"32",550,"Buellia1",5
"33",600,"Buellia1",4
"34",650,"Buellia1",2
"35",700,"Buellia1",3
"36",800,"Buellia1",2
"37",850,"Buellia1",10
"38",500,"Buellia2",1
"39",550,"Buellia2",2
"40",800,"Buellia2",9
"41",850,"Buellia2",3
"42",500,"Buellia3",2
"43",800,"Buellia3",1
"44",500,"Buellia4",2
"45",500,"BuelliaBlue",1
"46",800,"Caloplaca1",1
"47",450,"Caloplaca2",6
"48",500,"Caloplaca2",6
"49",550,"Caloplaca2",1
"50",600,"Caloplaca2",1
"51",650,"Caloplaca2",1
"52",700,"Caloplaca2",1
"53",800,"Caloplaca2",1
"54",500,"Caloplaca3",1
"55",550,"Caloplacapergracilis",1
"56",650,"Caloplacapergracilis",1
"57",650,"Caloplacasubhervidela",1
"58",700,"Caloplacasubhervidela",5
"59",750,"Caloplacasubhervidela",4
"60",550,"Caloplacataltalensis",1
"61",550,"Candelariella1",5
"62",650,"Candelariella1",9
"63",700,"Candelariella1",18
"64",750,"Candelariella1",14
"65",800,"Candelariella1",19
"66",850,"Candelariella1",6
"67",650,"Candelariella2",7
"68",700,"Candelariella2",7
"69",750,"Candelariella2",7
"70",600,"Candelariella3",2
"71",700,"Chrysothrix1",6
"72",750,"Chrysothrix1",1
"73",800,"Chrysothrix1",15
"74",650,"Chrysothrix2",7
"75",700,"Chrysothrix2",14
"76",750,"Chrysothrix2",16
"77",800,"Chrysothrix2",6
"78",600,"ClumpyMustardBuellia",1
"79",750,"Cyanobacteria",2
"80",550,"DarkBrownSmear",2
"81",600,"DarkBrownSmear",4
"82",550,"DarkGrayRhizocarpon",1
"83",600,"DarkGrayRhizocarpon",1
"84",850,"Endolithic",1
"85",500,"GrayCrust1",2
"86",800,"GrayCrust1",3
"87",700,"GrayIsidiate",1
"88",800,"GrayIsidiate",1
"89",700,"GrayLepraria",1
"90",800,"GrayLepraria",1
"91",550,"GrayRhizocarpon",3
"92",600,"GrayRhizocarpon",2
"93",650,"GrayRhizocarpon",7
"94",700,"GrayRhizocarpon",15
"95",750,"GrayRhizocarpon",8
"96",800,"GrayRhizocarpon",1
"97",750,"GraySorAspicilia",1
"98",850,"GraySorRhizocarpon",2
"99",700,"GreenBrain",6
"100",750,"GreenBrain",13
"101",800,"GreenBrain",6
"102",700,"GreenLepraria",7
"103",750,"GreenLepraria",14
"104",650,"Heterodermia1",4
"105",700,"Heterodermia1",19
"106",750,"Heterodermia1",16
"107",800,"Heterodermia1",19
"108",700,"Heterodermia2",3
"109",750,"Heterodermia2",1
"110",800,"Heterodermia2",7
"111",850,"Heterodermia2",3
"112",550,"Lepraria1",1
"113",700,"Lepraria1",2
"114",800,"Lepraria1",13
"115",500,"LightBrownRocc",1
"116",550,"Minksia",2
"117",600,"Minksia",1
"118",650,"Minksia",7
"119",700,"Minksia",14
"120",750,"Minksia",8
"121",800,"Minksia",2
"122",650,"Niebla1",1
"123",700,"Niebla1",1
"124",750,"Niebla1",7
"125",800,"Niebla1",10
"126",700,"Niebla2",5
"127",750,"Niebla2",4
"128",800,"Niebla2",9
"129",550,"Niebla3",3
"130",600,"Niebla3",2
"131",650,"Niebla3",2
"132",700,"Niebla3",1
"133",750,"Niebla3",1
"134",800,"Niebla3",3
"135",850,"Niebla3",1
"136",700,"Niebla4",1
"137",850,"Niebla4",7
"138",850,"Nieblavagans",4
"139",850,"PaleRhizocarpon",1
"140",750,"Pentagenella",1
"141",850,"Pyrenodesmia",4
"142",550,"Ramalina",3
"143",600,"Ramalina",1
"144",650,"Ramalina",13
"145",700,"Ramalina",23
"146",750,"Ramalina",15
"147",800,"Ramalina",10
"148",850,"Ramalina",5
"149",500,"Ramalina2",2
"150",550,"Rhizoplaca",2
"151",650,"Rhizoplaca",1
"152",700,"Rhizoplaca",9
"153",750,"Rhizoplaca",10
"154",800,"Rhizoplaca",15
"155",850,"Rhizoplaca",2
"156",750,"RoccellaFruticose",1
"157",450,"Roccellina1",1
"158",500,"Roccellina1",1
"159",500,"Roccellina2",1
"160",650,"Roccellina2",1
"161",700,"Roccellina2",2
"162",750,"Roccellina2",1
"163",850,"RoccellinaCereb",1
"164",550,"Roccellinaterricola",1
"165",650,"Roccellinaterricola",5
"166",700,"Roccellinaterricola",14
"167",750,"Roccellinaterricola",7
"168",550,"Sclerophyton1",4
"169",600,"Sclerophyton1",7
"170",650,"Sclerophyton1",7
"171",700,"Sclerophyton1",22
"172",750,"Sclerophyton1",10
"173",800,"Sclerophyton1",5
"174",850,"Sclerophyton1",15
