"","Elevation","Species","x"
"1",300,"",7
"2",400,"",4
"3",450,"",14
"4",500,"",11
"5",550,"",5
"6",600,"",8
"7",800,"AcarosporaBull",1
"8",800,"aeroLep",1
"9",550,"Amigdalaria",1
"10",650,"Amigdalaria",4
"11",700,"Amigdalaria",8
"12",750,"Amigdalaria",7
"13",800,"Amigdalaria",3
"14",850,"Amigdalaria",2
"15",800,"Amygdalaria",6
"16",800,"AmygdalariaBullate",1
"17",700,"ApotheciateCerebriformis",1
"18",500,"Arctothelium",12
"19",550,"Arctothelium",8
"20",600,"Arctothelium",18
"21",650,"Arctothelium",17
"22",700,"Arctothelium",34
"23",750,"Arctothelium",20
"24",800,"Arctothelium",24
"25",850,"Arctothelium",19
"26",500,"ArthoniaRocc1",1
"27",800,"Aspicilia1",2
"28",850,"Aspicilia1",1
"29",700,"AspiciliaStrigata",2
"30",500,"BallsofYellow",1
"31",650,"BlackRhizo",1
"32",700,"BlackRhizo",1
"33",700,"BlackRugosePlacynthiella",2
"34",400,"BlackStipCren",3
"35",500,"BlackStipCren",2
"36",600,"BlackStipCren",3
"37",800,"BlackStipCren",6
"38",400,"BlackStipNonCren",2
"39",800,"BluePruApoTerr",1
"40",700,"BluishApoToninia",2
"41",700,"BrownAspicilia",7
"42",750,"BrownAspicilia",10
"43",650,"BrownConvexBuellia",10
"44",700,"BrownConvexBuellia",3
"45",800,"BrownCrust1",7
"46",750,"BrownIsidiate",1
"47",550,"BrownLumpy",1
"48",800,"BrownSmearFertile",1
"49",700,"BrownSmoothAspicilia",2
"50",800,"BrownSor",7
"51",500,"BuellaJorgensis",1
"52",600,"BuellaJorgensis",5
"53",700,"BuellaJorgensis",3
"54",800,"BuellaJorgensis",4
"55",600,"BuellaJorgensisLign",1
"56",550,"Buellia1",5
"57",600,"Buellia1",4
"58",650,"Buellia1",2
"59",700,"Buellia1",3
"60",800,"Buellia1",2
"61",850,"Buellia1",10
"62",500,"Buellia2",1
"63",550,"Buellia2",2
"64",800,"Buellia2",9
"65",850,"Buellia2",3
"66",500,"Buellia3",2
"67",800,"Buellia3",1
"68",500,"Buellia4",2
"69",500,"BuelliaBlue",1
"70",700,"Caljorgensis",2
"71",300,"CaloOrtho",3
"72",400,"CaloOrtho",3
"73",500,"CaloOrtho",9
"74",600,"CaloOrtho",7
"75",500,"CaloPhlogina",1
"76",800,"CaloPhlogina",2
"77",800,"Caloplaca1",1
"78",450,"Caloplaca2",6
"79",500,"Caloplaca2",6
"80",550,"Caloplaca2",1
"81",600,"Caloplaca2",1
"82",650,"Caloplaca2",1
"83",700,"Caloplaca2",1
"84",800,"Caloplaca2",1
"85",500,"Caloplaca3",1
"86",550,"Caloplacapergracilis",1
"87",650,"Caloplacapergracilis",1
"88",650,"Caloplacasubhervidela",1
"89",700,"Caloplacasubhervidela",5
"90",750,"Caloplacasubhervidela",4
"91",550,"Caloplacataltalensis",1
"92",500,"CaloSubhervidela",3
"93",550,"Candelariella1",5
"94",650,"Candelariella1",9
"95",700,"Candelariella1",18
"96",750,"Candelariella1",14
"97",800,"Candelariella1",19
"98",850,"Candelariella1",6
"99",650,"Candelariella2",7
"100",700,"Candelariella2",7
"101",750,"Candelariella2",7
"102",600,"Candelariella3",2
"103",500,"Chrysothrix",1
"104",600,"Chrysothrix",2
"105",700,"Chrysothrix",8
"106",800,"Chrysothrix",10
"107",700,"Chrysothrix1",6
"108",750,"Chrysothrix1",1
"109",800,"Chrysothrix1",15
"110",650,"Chrysothrix2",7
"111",700,"Chrysothrix2",14
"112",750,"Chrysothrix2",16
"113",800,"Chrysothrix2",6
"114",600,"ClumpyMustardBuellia",1
"115",700,"ContortedPentagenella",1
"116",600,"CrazyFlatRamalina",1
"117",750,"Cyanobacteria",2
"118",550,"DarkBrownSmear",2
"119",600,"DarkBrownSmear",4
"120",550,"DarkGrayRhizocarpon",1
"121",600,"DarkGrayRhizocarpon",1
"122",600,"Endoconchic",1
"123",850,"Endolithic",1
"124",700,"EndolithicBuellia",2
"125",600,"Enterographa",1
"126",700,"EpinecralAspicilia",2
"127",700,"FineFlattenedNiebla",1
"128",400,"Finlike",4
"129",500,"Finlike",1
"130",700,"FlattenedLepro",1
"131",500,"GrayCrust1",2
"132",800,"GrayCrust1",3
"133",700,"GrayIsidiate",1
"134",800,"GrayIsidiate",1
"135",700,"GrayLepraria",1
"136",800,"GrayLepraria",1
"137",500,"GrayRhizocarpon",1
"138",550,"GrayRhizocarpon",3
"139",600,"GrayRhizocarpon",5
"140",650,"GrayRhizocarpon",7
"141",700,"GrayRhizocarpon",15
"142",750,"GrayRhizocarpon",8
"143",800,"GrayRhizocarpon",1
"144",800,"GrayRhizoPseudolir",4
"145",750,"GraySorAspicilia",1
"146",850,"GraySorRhizocarpon",2
"147",700,"GreenBrain",6
"148",750,"GreenBrain",13
"149",800,"GreenBrain",9
"150",700,"GreenLepraria",7
"151",750,"GreenLepraria",14
"152",800,"GreyRhizoStipApo",6
"153",650,"Heterodermia1",4
"154",700,"Heterodermia1",19
"155",750,"Heterodermia1",16
"156",800,"Heterodermia1",19
"157",700,"Heterodermia2",3
"158",750,"Heterodermia2",1
"159",800,"Heterodermia2",7
"160",850,"Heterodermia2",3
"161",500,"HetFoll",1
"162",600,"HetFoll",1
"163",700,"HetFoll",3
"164",800,"HetFoll",5
"165",700,"HetLeucomelos",4
"166",800,"HyperBranchedNiebla",2
"167",700,"HyperIsidiateNiebla",4
"168",550,"Lepraria1",1
"169",700,"Lepraria1",2
"170",800,"Lepraria1",13
"171",800,"Leprocaulon",3
"172",500,"LightBrownRocc",1
"173",500,"LirRhizocarpon",1
"174",700,"LirRhizocarpon",3
"175",500,"LittlePilesBalls",1
"176",700,"ManilaBacidia",2
"177",700,"ManilaRoccellina",1
"178",800,"ManilaRoccPrui",1
"179",700,"ManilaSegmentedApoHyperbullateRoccellina",3
"180",500,"Megaspora",2
"181",700,"MicrobullateShitBrownBuellia",2
"182",400,"Minksia",1
"183",500,"Minksia",6
"184",550,"Minksia",2
"185",600,"Minksia",7
"186",650,"Minksia",7
"187",700,"Minksia",14
"188",750,"Minksia",8
"189",800,"Minksia",6
"190",700,"MinksiaSax",5
"191",700,"MinksiaTwig",1
"192",500,"Niebla",2
"193",650,"Niebla1",1
"194",700,"Niebla1",1
"195",750,"Niebla1",7
"196",800,"Niebla1",10
"197",700,"Niebla2",5
"198",750,"Niebla2",4
"199",800,"Niebla2",9
"200",550,"Niebla3",3
"201",600,"Niebla3",2
"202",650,"Niebla3",2
"203",700,"Niebla3",1
"204",750,"Niebla3",1
"205",800,"Niebla3",3
"206",850,"Niebla3",1
"207",700,"Niebla4",1
"208",850,"Niebla4",7
"209",600,"NieblaCeruchis",3
"210",700,"NieblaCeruchis",1
"211",800,"NieblaCeruchis",1
"212",700,"NieblaGranulans",2
"213",800,"NieblaGranulans",7
"214",850,"Nieblavagans",4
"215",850,"PaleRhizocarpon",1
"216",500,"Pentagenella",1
"217",700,"Pentagenella",2
"218",750,"Pentagenella",1
"219",800,"Pentagenella",1
"220",850,"Pyrenodesmia",4
"221",550,"Ramalina",3
"222",600,"Ramalina",1
"223",650,"Ramalina",13
"224",700,"Ramalina",23
"225",750,"Ramalina",15
"226",800,"Ramalina",10
"227",850,"Ramalina",5
"228",500,"Ramalina2",2
"229",700,"RamalinaSolid",2
"230",800,"RamalinaUsnea",1
"231",700,"RamalinaVAver",1
"232",550,"Rhizoplaca",2
"233",650,"Rhizoplaca",1
"234",700,"Rhizoplaca",9
"235",750,"Rhizoplaca",10
"236",800,"Rhizoplaca",15
"237",850,"Rhizoplaca",2
"238",700,"Rinodina",1
"239",300,"RoccCereb",1
"240",400,"RoccCereb",4
"241",500,"RoccCereb",1
"242",800,"RoccCereb",3
"243",750,"RoccellaFruticose",1
"244",450,"Roccellina1",1
"245",500,"Roccellina1",1
"246",500,"Roccellina2",1
"247",650,"Roccellina2",1
"248",700,"Roccellina2",2
"249",750,"Roccellina2",1
"250",700,"RoccellinaBallena",1
"251",850,"RoccellinaCereb",1
"252",550,"Roccellinaterricola",1
"253",650,"Roccellinaterricola",5
"254",700,"Roccellinaterricola",14
"255",750,"Roccellinaterricola",7
"256",700,"SandArthonia",1
"257",800,"SandOpegrapha",1
"258",550,"Sclerophyton1",4
"259",600,"Sclerophyton1",7
"260",650,"Sclerophyton1",7
"261",700,"Sclerophyton1",22
"262",750,"Sclerophyton1",10
"263",800,"Sclerophyton1",5
"264",850,"Sclerophyton1",15
"265",800,"Sclerophyton2",2
"266",850,"Sclerophyton2",4
"267",600,"SorediateAmygdalaria",1
"268",700,"SorediateAmygdalaria",4
"269",800,"SorediateAmygdalaria",1
"270",700,"SorediateTipRamalina",1
"271",700,"SorMarginsRamalina",2
"272",600,"sorNiebla",1
"273",700,"StipLecBlaApoWhite",2
"274",800,"TanBullateApo",9
"275",800,"TanCrustRocc",1
"276",550,"TerricolousWhiteCrust",2
"277",600,"TerricolousWhiteCrust",1
"278",650,"TerricolousWhiteCrust",6
"279",700,"TerricolousWhiteCrust",16
"280",750,"TerricolousWhiteCrust",17
"281",800,"TerricolousWhiteCrust",15
"282",700,"TinyGrayRhizo",3
"283",700,"TinyGrayRhizocarpon",1
"284",600,"TinyGreyRhizocarpon",1
"285",850,"TinyGreyRhizocarpon",2
"286",700,"TinyOliveRhizo",1
"287",700,"Trentepohlia",1
"288",700,"UsneaRubicunda",1
"289",800,"UsneaRubicunda",1
"290",700,"VapoWhiteRidged",1
"291",700,"WhiteBlackLecideateRoccellina",2
"292",700,"WhiteBuellia2",1
"293",750,"WhiteBuellia2",2
"294",800,"WhiteBuelliaJor",1
"295",550,"WhiteFoam",2
"296",600,"whiteLignBuellia",1
"297",600,"WhiteRhizoPara",1
"298",850,"WhiteRhizoPara",2
"299",850,"WhiteSorAreol",2
"300",700,"WhiteStipBuellia",2
"301",700,"WhiteTinyBlackApoRhizo",1
"302",550,"Xanthoria",2
"303",600,"Xanthoria",1
"304",650,"Xanthoria",6
"305",700,"Xanthoria",8
"306",750,"Xanthoria",10
"307",800,"Xanthoria",7
"308",700,"XanthoriaAscendens",3
"309",600,"Xylographa",1
"310",550,"YellowConvexBuellia",1
"311",700,"YellowConvexBuellia",5
"312",750,"YellowConvexBuellia",1
"313",800,"YellowCrust1",4
"314",450,"YellowRhizocarpon",1
"315",500,"YellowRhizocarpon",13
"316",550,"YellowRhizocarpon",3
"317",600,"YellowRhizocarpon",5
"318",650,"YellowRhizocarpon",11
"319",700,"YellowRhizocarpon",17
"320",750,"YellowRhizocarpon",7
"321",850,"YellowRhizocarpon",12
"322",500,"YellowRhizocarpon2",1
"323",550,"YellowRhizocarpon2",1
"324",600,"YellRhizoCentApo",6
"325",600,"YelRhizocarponSchizidia",5
"326",700,"YelRhizocarponSchizidia",7
"327",800,"YelRhizocarponSchizidia",1
"328",700,"YelRhizoFlatBlackApo",1
"329",400,"YelRhizoNoSchiz",1
"330",800,"YrhizoSor",3
