"","Species","Transect","Collection","Elevation","Quadrat","Collection2","Cover","Time_Surface","Time_Absorption","Angle","N","SpN","Genus","Order","Family","Form","Photobiont","Number","Sample","Mass",".N","d15N",".C","d13C","Notes"
"1","AcarosporaBull","B","TB800.6.1","800","6","TB_800_6_1","T",1,18.3333333333333,120,151,1,"Acarospora","Acarosporales","","Crustose","Trebouxia","1",NA,NA,NA,NA,NA,NA,""
"2","aeroLep","B","TB800.10.1","800","10","TB_800_10_1","1",1,12.5,90,156,2,"Lepraria","Lecanorales","","Leprose","Trebouxia","1",NA,NA,NA,NA,NA,NA,""
"3","Amygdalaria","B","TB800.1.9","800","1","TB_800_1_9","T",3.5,65,75,148,3,"Amygdalaria","Lecideales","","Crustose","Trebouxia","9",NA,NA,NA,NA,NA,NA,"specimen contains multiple species"
"4","Amygdalaria","B","TB800.1.9","800","10","TB_800_1_9","25",3.5,65,75,148,3,"Amygdalaria","Lecideales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"5","Amygdalaria","B","TB800.1.9","800","3","TB_800_1_9","1",3.5,65,75,148,3,"Amygdalaria","Lecideales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"6","Amygdalaria","B","TB800.1.9","800","4","TB_800_1_9","T",3.5,65,75,148,3,"Amygdalaria","Lecideales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"7","Amygdalaria","B","TB800.1.9","800","5","TB_800_1_9","12",3.5,65,75,148,3,"Amygdalaria","Lecideales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"8","Amygdalaria","B","TB800.1.9","800","7","TB_800_1_9","1",3.5,65,75,148,3,"Amygdalaria","Lecideales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"9","Amygdalaria","B","TB800.1.9","800","8","TB_800_1_9","T",3.5,65,75,148,3,"Amygdalaria","Lecideales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"10","Amygdalaria","B","TB800.1.9","800","9","TB_800_1_9","2",3.5,65,75,148,3,"Amygdalaria","Lecideales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
