"","Species","Photobiont"
"1","AcarosporaBull","Trebouxia"
"2","aeroLep","Trebouxia"
"3","Amygdalaria","Trebouxia"
"11","AmygdalariaBullate","Trebouxia"
"19","ApotheciateCerebriformis","Trentepohlia"
"20","Arctothelium","Trentepohlia"
"46","AspiciliaStrigata","Trebouxia"
"48","BallsofYellow","Trebouxia"
"49","BlackRugosePlacynthiella","Cyanobacteria"
"51","BlackStipCren","Trentepohlia"
"65","BlackStipNonCren","Trentepohlia"
"67","BluePruApoTerr","Trentepohlia"
"68","BluishApoToninia","Trebouxia"
"70","BrownSmearFertile","Trebouxia"
"71","BrownSmoothAspicilia","Trebouxia"
"73","BuellaJorgensis","Trebouxia"
"86","BuellaJorgensisLign","Trebouxia"
"87","Caljorgensis","Trebouxia"
"89","CaloOrtho","Trebouxia"
"111","CaloPhlogina","Trebouxia"
"114","CaloSubhervidela","Trebouxia"
"117","Chrysothrix","Trebouxia"
"138","ContortedPentagenella","Trentepohlia"
"139","CrazyFlatRamalina","Trentepohlia"
"141","Endoconchic","Trebouxia"
"142","EndolithicBuellia","Trebouxia"
"144","Enterographa","Trentepohlia"
"145","EpinecralAspicilia","Trebouxia"
"147","FineFlattenedNiebla","Trebouxia"
"148","Finlike","Trentepohlia"
"153","FlattenedLepro","Trebouxia"
"154","GrayRhizocarpon","Trebouxia"
"158","GrayRhizoPseudolir","Trebouxia"
"162","GreenBrain","Trebouxia"
"165","GreyRhizoStipApo","Trebouxia"
"170","GreyRhizoStipApo",NA
"171","HetFoll","Trebouxia"
"181","HetLeucomelos","Trebouxia"
"185","HyperBranchedNiebla","Trebouxia"
"187","HyperIsidiateNiebla","Trebouxia"
"191","Leprocaulon","Trebouxia"
"194","LirRhizocarpon","Trebouxia"
"198","LittlePilesBalls","Trebouxia"
"199","ManilaBacidia","Trebouxia"
"201","ManilaRoccellina","Trentepohlia"
"202","ManilaRoccPrui","Trentepohlia"
"203","ManilaSegmentedApoHyperbullateRoccellina","Trentepohlia"
"206","Megaspora","Trebouxia"
"208","MicrobullateShitBrownBuellia","Trebouxia"
"210","Minksia","Trentepohlia"
"227","MinksiaSax","Trentepohlia"
"232","MinksiaTwig",NA
"233","Niebla","Trebouxia"
"235","NieblaCeruchis","Trebouxia"
"239","NieblaCeruchis",NA
"240","NieblaGranulans","Trebouxia"
"249","Pentagenella","Trentepohlia"
"253","RamalinaSolid","Trebouxia"
"255","RamalinaUsnea","Trebouxia"
"256","RamalinaVAver","Trebouxia"
"257","Rinodina","Trebouxia"
"258","RoccCereb","Trentepohlia"
"268","Roccellina?",NA
"269","RoccellinaBallena","Trentepohlia"
"270","SandArthonia","Trentepohlia"
"271","SandArthonia",NA
"273","SandOpegrapha","Trentepohlia"
"274","SorediateAmygdalaria","Trebouxia"
"287","SorediateTipRamalina",NA
"288","SorMarginsRamalina","Trebouxia"
"290","sorNiebla","Trebouxia"
"291","StipLecBlaApoWhite","Trentepohlia"
"293","TanBullateApo","Trentepohlia"
"302","TanCrustRocc","Trentepohlia"
"303","TinyGrayRhizo","Trebouxia"
"307","TinyGrayRhizocarpon","Trebouxia"
"311","TinyOliveRhizo","Trebouxia"
"312","Trentepohlia",NA
"313","UsneaRubicunda","Trebouxia"
"314","VapoWhiteRidged","Trentepohlia"
"315","WhiteBlackLecideateRoccellina","Trentepohlia"
"317","WhiteBuelliaJor","Trebouxia"
"318","whiteLignBuellia","Trebouxia"
"319","WhiteStipBuellia","Trebouxia"
"321","WhiteTinyBlackApoRhizo","Trebouxia"
"322","XanthoriaAscendens","Trebouxia"
"325","Xylographa","Trentepohlia"
"326","YellowRhizocarpon","Trebouxia"
"333","YellRhizoCentApo","Trebouxia"
"339","YelRhizocarponSchizidia","Trebouxia"
"352","YelRhizoFlatBlackApo","Trebouxia"
"353","YelRhizoNoSchiz","Trebouxia"
"354","YrhizoSor","Trebouxia"
